source_id	language	toxic	text
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000000	ru	0	я сегодня проезжала по рабочей и между домами снитенко и гомолысовой магазином ( на пустыре) бежала кошка похожего окраса.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000001	ru	0	может, я и ошиблась, но необычный окрас бросился в глаза.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000002	ru	0	зачем придумывать очередной налог на воздух, если можно обьявить инсульт и грипп- пандемией!
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000003	ru	0	ретро дежавю ... сложно понять чужое сердце , лиш ощутить музыкой видимо
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000004	ru	0	2 августа поздно вечером нашли вот такую потеряшку в районе высоток на победе.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000005	ru	0	девочка явно домашняя, в новом ошейнике.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000006	ru	0	а еще на стоянке никто не проверяет безопасность детей.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000007	ru	0	возле порта на тарзанке стоит человек и смотрит за детьми, а на стоянке прыгает девочка, а вокруг никого.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000008	ru	0	это просто дэлика зубилосовсем немного переделано кузово.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000009	ru	0	вы живёте в россии, не оставляйте российских детей без вашей заботы.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000010	ru	0	я на нем за 21 день марафона скинула 5кг и обьемы ушли по 8см.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000011	ru	0	а потом я чего то расслабилась в принципе как всегда и все.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000012	ru	0	пиши сразу путину раз такая смелая
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000013	ru	0	пока хвалиться нечем , не очень хочется затевать ремонт в зале и в коридоре .
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000014	ru	0	для вас ,я возьму на себя труд судить о вас ,по-моему большое открытие быть человеком￼ !
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000015	ru	0	как же здорово осознавать то, что людей поддерживают, помогают, стимулируют! )
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000016	ru	0	моя мама доживала со мной и когда заболела, я ухаживала за ней.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000017	ru	0	очень правильные и верные слова - сказаны.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000018	ru	0	с праздником дорогие, чистого неба над головой, мира на всей земле.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000019	ru	0	интиресно как это - вода чистая но не из под крана, что то не понять
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000020	ru	0	а про этого извините но реально ломать мозг над этим людям думаю нестоит.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000021	ru	0	про данный пост забудут через некоторое время, да и как про игру.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000022	ru	0	и ездили на борту грузовика без всяких подписей и инструктажей.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000023	ru	0	ты минут пятнадцать назад смотрела сис приходил
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000024	ru	0	очень жаль таких детишек,которые воспитываются с неадекватно- психическими отклонениями!
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000025	ru	0	на автобанах только толщина подушки перед основным полотном больше метра, неважно где, германия, франция, чехия, венгрия и т.д.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000026	ru	0	выгодней им дать земельный участок и брать за него налоги😂
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000027	ru	0	все против народа.. учить историю надо фашистские отряды и полицаи были утинскиештурмовые отряды времен 1933 года как в германии
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000028	ru	0	а мне зять подарил э/ простыню на дачу, теперь радуюсь каждую прохладную ночь, дивлюсь себе-зачем насморк заводила, когда есть такое чудо!
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000029	ru	0	можно и в жару, попали в самое пекло, зоопарк в дендропарке находится, все в соснах, очень рекомендую))
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000030	ru	0	убери деньги изо всего что считаешь вечным, тот тоже исчезнет но вера никогда
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000031	ru	0	некоторым, очень трудно видеть красоту природы да, правда это чудо природы
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000032	ru	0	я прошу чтобы все последствия прошлых и нынешних ошибок и недоразумений рассеялись да будет так !
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000033	ru	0	если есть возможность возьмите пожалуйста у меня 3 кошки и 4 котенок ,вам добро вернётся
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000034	ru	0	ладно нам долго лететь.. - ааа,-отвечает,- зато вас первыми откопают...
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000035	ru	0	здравствуйте, можно узнать цену курочек?
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000036	ru	0	так он может терять свои позиции еще лет 100, а то и 500 и ни на шаг не сдвинулся.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000037	ru	0	а медиков вообще не за что - приехать к больному, поставить диагноз орз, не сделав тест, и бросить на выживаемость!
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000038	ru	0	это я только тему коронки затронула, не говоря об остальном!
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000039	ru	0	кот само спойствие и пофигизм, а собачка боится??
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000040	ru	0	а ты не помнишь как русских гнали из всех союзных республик, а сколько вырезали в чечне, не в курсе или тебе кавказцы нравятся горячие парни, так поверь русские есть гораздо погорячее
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000041	ru	0	такой вещи простой в хозяйстве не оказалось!
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000042	ru	0	у меня тоже так накрылся,я его ликвидировала,буду новый сажать.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000043	ru	0	как россия, семимильными шагами, путями и созиданиями.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000044	ru	0	не было бы прогресса вы бы до сих пор на полях урожай в ручную собирали бы.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000045	ru	0	вы сами готовы на поле урожай собирать или очищать от сорняков поля в любую погоду?
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000046	ru	0	в новополоцке отметили 90-летие вдв и открыли бюст-памятник герою советского союза василию маргелову
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000047	ru	0	это было бы многим удобно, так что не вижу в этом какого то кошмара
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000048	ru	0	мы тоже были в хорватии, на границе паспорта регистрировали и туда и обратно.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000049	ru	0	из за этого немного дольше едешь, чем обычно.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000050	ru	0	странно вы пишете - хочется верить, что он достойной актер....если он вам нравится, как актер, то нравится...почему хочется верить, еще и в достойного.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000051	ru	0	ну а его личная жизнь, как и всех, ни вас, ни кого вообще не касается
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000052	ru	0	святый пророче божий илья,моли бога о нас грешных!!
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/000053	ru	0	молодец что сумел найти силы воспитывать дочь а проблема с ногами это мелочь главное это любовь
