detector_language	source_id	reason
AR	textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/001021	accepted_task5_directed_insult
AR	textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/001941	accepted_task5_direct_threat
AR	textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/003718	accepted_task5_harm_wish
AR	textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/004436	accepted_task5_self_harm_command
DE	germeval-2018@9877472d39523effd54cd079b4c61157ed141508/unsplit/test-001359	behavior_panel_rule_evidence
DE	germeval-2018@9877472d39523effd54cd079b4c61157ed141508/unsplit/test-001983	behavior_panel_rule_evidence
DE	textdetox@01907546324b0330d2d8b7669648cc18823323e5/de/000787	behavior_panel_rule_evidence
EN	textdetox@01907546324b0330d2d8b7669648cc18823323e5/en/003215	behavior_panel_rule_evidence
EN	textdetox@01907546324b0330d2d8b7669648cc18823323e5/en/003672	behavior_panel_rule_evidence
EN	textdetox@01907546324b0330d2d8b7669648cc18823323e5/en/004404	behavior_panel_rule_evidence
EN	textdetox@01907546324b0330d2d8b7669648cc18823323e5/en/004466	behavior_panel_rule_evidence
ES	textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000254	behavior_panel_rule_evidence
ES	textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000534	behavior_panel_rule_evidence
ES	textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000590	behavior_panel_rule_evidence
ES	textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/001918	behavior_panel_rule_evidence
FR	textdetox@01907546324b0330d2d8b7669648cc18823323e5/fr/003833	behavior_panel_rule_evidence
FR	textdetox@01907546324b0330d2d8b7669648cc18823323e5/fr/004761	behavior_panel_rule_evidence
FR	textdetox@01907546324b0330d2d8b7669648cc18823323e5/fr/004904	behavior_panel_rule_evidence
HI	textdetox@01907546324b0330d2d8b7669648cc18823323e5/hi/000520	accepted_task5_self_harm_command
HI	textdetox@01907546324b0330d2d8b7669648cc18823323e5/hi/000625	accepted_task5_directed_insult
HI	textdetox@01907546324b0330d2d8b7669648cc18823323e5/hi/001689	accepted_task5_harm_wish
HI	textdetox@01907546324b0330d2d8b7669648cc18823323e5/hi/001962	accepted_task5_direct_threat
ID	ibrohim-budi@be98de98e974b65838d2b5145ee2c89e9bf53a6b/unsplit/000382	behavior_panel_rule_evidence
ID	ibrohim-budi@be98de98e974b65838d2b5145ee2c89e9bf53a6b/unsplit/005554	behavior_panel_rule_evidence
ID	ibrohim-budi@be98de98e974b65838d2b5145ee2c89e9bf53a6b/unsplit/010172	behavior_panel_rule_evidence
IT	textdetox@01907546324b0330d2d8b7669648cc18823323e5/it/000030	behavior_panel_rule_evidence
IT	textdetox@01907546324b0330d2d8b7669648cc18823323e5/it/000396	behavior_panel_rule_evidence
IT	textdetox@01907546324b0330d2d8b7669648cc18823323e5/it/000462	behavior_panel_rule_evidence
IT	textdetox@01907546324b0330d2d8b7669648cc18823323e5/it/000613	behavior_panel_rule_evidence
JA	textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000351	accepted_task6_self_harm_command
JA	textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000533	accepted_task6_direct_threat
JA	textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000848	accepted_task6_harm_wish
JA	textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000861	accepted_task6_directed_insult
KO	k-mhas@ec7a7e775d650b825872f6f538fc717822cdfc1a/train/11842	accepted_task6_direct_threat
KO	k-mhas@ec7a7e775d650b825872f6f538fc717822cdfc1a/train/27924	accepted_task6_harm_wish
KO	k-mhas@ec7a7e775d650b825872f6f538fc717822cdfc1a/train/29609	accepted_task6_directed_insult
KO	k-mhas@ec7a7e775d650b825872f6f538fc717822cdfc1a/train/33268	accepted_task6_self_harm_command
PT	told-br@6b325d26a9d25b321a3e9ba98ef98832b56729f5/unsplit/010555	behavior_panel_rule_evidence
PT	told-br@6b325d26a9d25b321a3e9ba98ef98832b56729f5/unsplit/011588	behavior_panel_rule_evidence
PT	told-br@6b325d26a9d25b321a3e9ba98ef98832b56729f5/unsplit/015135	behavior_panel_rule_evidence
PT	told-br@6b325d26a9d25b321a3e9ba98ef98832b56729f5/unsplit/017596	behavior_panel_rule_evidence
RU	textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/002721	behavior_panel_rule_evidence
RU	textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/003599	behavior_panel_rule_evidence
RU	textdetox@01907546324b0330d2d8b7669648cc18823323e5/ru/004597	behavior_panel_rule_evidence
TR	offenseval-tr@official-v1/train/16626	behavior_panel_rule_evidence
TR	offenseval-tr@official-v1/train/35659	behavior_panel_rule_evidence
TR	offenseval-tr@official-v1/train/36405	behavior_panel_rule_evidence
TR	offenseval-tr@official-v1/train/44700	behavior_panel_rule_evidence
VI	vihos@fe31c4b304650d62bb0cb668e2fb2060fc6f98fd/train/4413	behavior_panel_rule_evidence
VI	vihos@fe31c4b304650d62bb0cb668e2fb2060fc6f98fd/train/4971	behavior_panel_rule_evidence
VI	vihos@fe31c4b304650d62bb0cb668e2fb2060fc6f98fd/train/8081	behavior_panel_rule_evidence
ZH	textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000265	accepted_task6_harm_wish
ZH	textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/001225	accepted_task6_self_harm_command
ZH	textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/001272	accepted_task6_directed_insult
ZH	textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/002465	accepted_task6_direct_threat
