split	label	text
development	clean	" 'Gitmek' sadece bir eylemdir. 'Unutmak' ise kocaman bir devrim." - Nazım Hikmet Ran
development	clean	" .. Dünya hayatı aldatıcı metadan başka bir şey değildir " (Al-i İmran Suresi, 185)
development	clean	" Bugün birçok şeyden kendim için vazgeçtim, umarım bu bazı şeyleri düzeltmeye yardımcı olur. "
development	clean	" La Galibe İLLALLAH."      ALLAH'TAN başka Galip yoktur.
development	clean	" Nasihat dünyanın en pahalı hazineleri kadar kıymetli olduğu halde, ekseriya pek ucuza satılır. "
development	clean	" OHAL'e"   Bayramda tatilinde ara verip tekrar başlatırlar galiba. 😀
development	clean	" Sevmek söz söylemek değil , bütün zor şartlara rağmen sahip çıkmaktır.   Kötü günde sarılmak , iyi günde güven vermektir..."      Neşet Ertaş
development	clean	" Yarın öldüğümüz zaman biri bize sorsa: ' Dünyada neler gördünüz? ' dese herhalde cevap bulamayız. Koşmaktan görmeye vaktimiz olmuyor ki..."      Sabahattin Ali - Değirmen
development	clean	" az kişinin keşfettiği şarkıları, çok okunmamış kitapları ve seni. En çok seni."
development	clean	" yemeklerimizde domuz eti yoktur" ibaresini kaldırmışlar Akşam yemeğinde çıngar çıkartacağım büyük ihtimalle. Mısır ekmeği kimin fikriyse sövmek farz oldu.
development	clean	" Şehre yeni geldim dün akşam Kararlarım var rakıyı bırakcam Yaramıyorsa içmicem başkan "
development	clean	"(İslâm’ı anlama ve yaşama yolunda) ilim talep etmek, nafile namaz kılmaktan daha üstündür."      İmam Şafiî (rah.)      Semerkand Takvimi
development	clean	"-Sen avukat olarak ayda ne kazanıyorsun?   -Ancak beş,altı yüz lira(1950'li yıllar)   -Ben sana,bizim derneğe üye olursan en az ayda altıbin lira kazanabileceğini bir il bulurum."Siyasette Otuzbeşyıl"dan...
development	clean	"...Yalnızım, evet yalnızız. Yani, bak, büyük kalabalıkların ortasında, insan denilen sosyal varlık kendi iç dünyasının mahpusu halinde, şifasız bir yalnızlığa mahkum. Yalnızım, evet herkes yalnızdır, yalnızız. Bütün ihtilaflarımızda yalnızlıklarımız çarpışıyor."
development	clean	"...bu hayal ona bir daha onu görmeyeceğini, sonuna kadar onun varlığından uzak kalacağını, bir insanı bir daha görmemenin, sesini bir daha işitmemenin, bir daha hayatına girmemenin keskin ve yenilmez acısıyla ona hatırlattı."
development	clean	"..hepimiz aynı 'insan'ın farklı görünümleri, tezahürleriyiz. Burada sıkıntı iyiliklerden kendimize pay çıkarmadaki arzumuzu, kötülükler söz konusu olduğunda göstermiyor oluşumuzda. Bütün kitaplar, bütün ifadeler aslında bizim için birer ayna..."
development	clean	"28 Şubat"  TÜSİAD Tobb vb.   Sendika liderleri   Medya tetikçileri   Darbeye zemin hazırlayan siyasiler   Sizleri de unutmadık!    Sıra sizlere de elbet gelecek...
development	clean	"Acaba şu an ne yapıyor?" diye düşünmeden duramıyorum..
development	clean	"Adam dandik cigara vermiş yine" derken
development	clean	"Adında ki harf kadardır alfabem..." diyen güzel yürek.Özlemle anıyoruz. #Küçükİskender
development	clean	"Ali Palabıyık" haluk Ulusoy gelsin dimi))
development	clean	"Allah'ın adıyla, Allah Resulune salât ve selam olsun. Allah'ım , günahlarımı bağışla ve bana rahmet kapılarını aç. "      (Müslim, "Müsafirin", 68)      Âmin       Hayırlı ve bereketli sahurlar
development	clean	"Allahım! Geçmişte işlediğim tüm günahlarımı bağışla. Ömrümün geriye kalan kısmında da beni günah işlemekten muhafaza buyur. Bana razı olacağın tertemiz işler yapmayı nasip eyle"   Âmin.    Cumanız mübarek olsun.
development	clean	"Ancak zaaflarımızı seven bizi hakkıyla sever. Meziyetlerimizi herkes, zaten kabul eder."      Ahmet Hamdi Tanpınar..
development	clean	"Anladım ki her şey sensin"
