lemma	category	level
bò vàng	an	inclusive
chó	an	inclusive
chó chết	an	conservative
chó cái	an	conservative
chó má	an	conservative
chó săn	an	inclusive
chó vàng	an	inclusive
chó đẻ	an	conservative
cẩu	an	inclusive
cờ hó	an	conservative
hồ li	an	inclusive
lợn	an	inclusive
ngựa bà	an	inclusive
súc sinh	an	conservative
súc vật	an	conservative
sủa	an	inclusive
tườu	an	inclusive
hàu	asf	inclusive
hột le	asf	inclusive
loz	asf	conservative
lòn	asf	conservative
lôn	asf	conservative
lồn	asf	conservative
buồi	asm	conservative
bú cu	asm	conservative
bắn tùm lum	asm	inclusive
chịch	asm	conservative
cmm	asm	conservative
cặc	asm	conservative
cửng	asm	inclusive
dcm	asm	conservative
dit	asm	conservative
dkm	asm	conservative
dmm	asm	conservative
dái	asm	conservative
móc lồn	asm	inclusive
nứng	asm	conservative
phọt cứt	asm	conservative
sục cu	asm	inclusive
sục cặc	asm	conservative
trym	asm	inclusive
trứng dái	asm	inclusive
trứng dái đánh lô tô	asm	inclusive
xoạc	asm	inclusive
ăn lồn	asm	conservative
đcm	asm	conservative
đit	asm	conservative
đkm	asm	conservative
đmm	asm	conservative
đầu buồi	asm	conservative
địt	asm	conservative
địt mẹ	asm	conservative
đụ	asm	conservative
đụ má	asm	conservative
bè lũ	cds	inclusive
bỏ mẹ	cds	inclusive
bốp	cds	inclusive
chết bà	cds	conservative
chết cha	cds	conservative
chết mẹ	cds	conservative
chết ngắt	cds	inclusive
clm	cds	conservative
cmnr	cds	conservative
cút	cds	conservative
cứt	cds	conservative
del	cds	conservative
dell	cds	conservative
khốn	cds	conservative
mả cha	cds	conservative
mả mẹ	cds	inclusive
mẹ kiếp	cds	inclusive
mẹc	cds	inclusive
thí bà nội	cds	inclusive
thí mẹ	cds	inclusive
vcl	cds	conservative
vkl	cds	conservative
vl	cds	conservative
vãi	cds	inclusive
vãi cả lồn	cds	inclusive
vãi lồn	cds	conservative
xí	cds	inclusive
á đù	cds	inclusive
đéo	cds	conservative
đù	cds	inclusive
đếch	cds	inclusive
câm	ddf	conservative
già khú	ddf	inclusive
hủi	ddf	inclusive
nạ dòng	ddf	inclusive
đui	ddf	conservative
dốt đặc cán mai	ddp	inclusive
khùng	ddp	conservative
ngu	ddp	conservative
ngu si	ddp	conservative
ngu đần	ddp	conservative
ngu độn	ddp	conservative
ngốc	ddp	inclusive
thiểu năng	ddp	conservative
thối não	ddp	inclusive
óc chó	ddp	conservative
điên	ddp	conservative
đần độn	ddp	conservative
đầu đất	ddp	inclusive
anh hùng cá nhân	dmc	inclusive
ba que	dmc	conservative
ba que xỏ lá	dmc	conservative
bán khai	dmc	inclusive
bò đỏ	dmc	conservative
bông tuyết	dmc	inclusive
bồi bút	dmc	inclusive
chóp bu	dmc	conservative
chống lưng	dmc	inclusive
csvn	dmc	inclusive
cờ ba que	dmc	conservative
dlv	dmc	conservative
dư luận viên	dmc	conservative
giặc cỏ	dmc	inclusive
giặc lái	dmc	inclusive
hữu khuynh	dmc	inclusive
lều báo	dmc	inclusive
mĩ–nguỵ	dmc	inclusive
mại bản	dmc	inclusive
nâng bi	dmc	inclusive
nịnh thần	dmc	inclusive
phản động	dmc	conservative
sừng sỏ	dmc	inclusive
tay sai	dmc	inclusive
ton hót	dmc	inclusive
trung cộng	dmc	inclusive
tài phiệt	dmc	inclusive
tả khuynh	dmc	inclusive
tự nhục	dmc	inclusive
việt cộng	dmc	inclusive
vua tin vịt	dmc	inclusive
vây cánh	dmc	inclusive
ô dù	dmc	inclusive
ăn bớt	dmc	inclusive
ăn chặn	dmc	inclusive
ăn cơm quốc gia, thờ ma cộng sản	dmc	conservative
ăn hoa hồng	dmc	inclusive
đu càng	dmc	conservative
đầu sỏ	dmc	inclusive
bất hiếu	is	inclusive
bắc kì	is	inclusive
cu li	is	inclusive
cá gỗ	is	inclusive
công tử bột	is	inclusive
cậu ấm	is	inclusive
hai lúa	is	inclusive
hạ đẳng	is	conservative
parky	is	inclusive
phèn	is	inclusive
trọc phú	is	inclusive
việt gian	is	inclusive
