id	pos	category	stereotype	lemma	level
FR00001	n	an	no	blaireau	conservative
FR00002	n	an	no	blaireaux	conservative
FR00003	n	an	no	bourricot	inclusive
FR00004	n	an	no	bovin	inclusive
FR00005	n	an	no	bovinement	inclusive
FR00006	p	an	no	brebis galeuse	inclusive
FR00007	n	an	no	buse	inclusive
FR00008	n	an	no	caniche	inclusive
FR00009	n	an	no	chameau	inclusive
FR00010	p	an	no	chien de chrétien	inclusive
FR00011	p	an	no	chien de la casse	inclusive
FR00012	n	an	no	chienne	conservative
FR00013	p	an	no	chienne de chrétienne	inclusive
FR00014	p	an	no	chienne de la casse	inclusive
FR00015	n	an	no	chiennes	conservative
FR00016	n	an	no	crapaud	inclusive
FR00017	n	an	no	crapaude	inclusive
FR00018	n	an	no	dindasse	inclusive
FR00019	n	an	no	dinde	inclusive
FR00020	n	an	no	dindes	inclusive
FR00021	n	an	no	dindonne	inclusive
FR00022	n	an	no	guenon	inclusive
FR00023	n	an	no	hongre	inclusive
FR00024	v	an	no	loup-cervier	inclusive
FR00025	p	an	no	mouton noir	inclusive
FR00026	n	an	no	oie	inclusive
FR00027	n	an	no	porc	conservative
FR00028	n	an	no	porcas	inclusive
FR00029	n	an	no	porcasse	inclusive
FR00030	n	an	no	porcin	inclusive
FR00031	n	an	no	porcs	conservative
FR00032	n	an	no	sagouin	inclusive
FR00033	n	an	no	sagouine	inclusive
FR00034	n	an	no	salope	conservative
FR00035	n	an	no	thon	inclusive
FR00036	p	an	no	triple buse	inclusive
FR00037	n	an	no	truiasse	inclusive
FR00038	n	an	no	truie	conservative
FR00039	n	an	no	truyasse	inclusive
FR00040	n	an	no	vache	inclusive
FR00041	n	an	no	veau	inclusive
FR00042	n	an	no	veaux	inclusive
FR00043	n	asf	no	berlingue	inclusive
FR00044	n	asf	no	bigornette	inclusive
FR00045	n	asf	no	boucaque	inclusive
FR00046	n	asf	no	cachina	inclusive
FR00047	n	asf	no	cagoince	inclusive
FR00048	n	asf	no	cagouince	inclusive
FR00049	n	asf	no	chagasse	inclusive
FR00050	n	asf	no	chagatte	inclusive
FR00051	n	asf	no	chatte	conservative
FR00052	n	asf	no	chiabrena	inclusive
FR00053	n	asf	no	choune	inclusive
FR00054	n	asf	no	clito	conservative
FR00055	n	asf	no	cramouille	inclusive
FR00056	n	asf	no	fente	inclusive
FR00057	n	asf	no	foufoune	conservative
FR00058	n	asf	no	foufounette	inclusive
FR00059	n	asf	no	foune	inclusive
FR00060	n	asf	no	minou	inclusive
FR00061	n	asf	no	moule	inclusive
FR00062	n	asf	no	moule-bite	inclusive
FR00063	p	asf	no	néo chatte	inclusive
FR00064	n	asf	no	néo-chatte	inclusive
FR00065	n	asf	no	plotte	inclusive
FR00066	n	asf	no	schnek	inclusive
