lemma	category	level
أبله	ddp	inclusive
أحمق	ddp	inclusive
أفَّاق	is	inclusive
أقزام	ddf	conservative
أير	asm	conservative
إخرائيل	rci	conservative
إمعة	is	inclusive
ابله	ddp	inclusive
ابن الحرام	cds	conservative
ابن الشرموطة	cds	conservative
ابن العاهرة	cds	conservative
ابن القحبة	cds	conservative
ابن الكلب	cds	conservative
ابن المتناكة	cds	conservative
ابن حرام	cds	conservative
ابن شرموطة	cds	conservative
ابن عاهرة	cds	conservative
ابن قحبة	cds	conservative
ابن كلب	cds	conservative
ابن متناكة	cds	conservative
احقر	cds	conservative
احمق	ddp	inclusive
اشرمطها	pr	conservative
اغبى	ddp	inclusive
اغبياء	ddp	inclusive
الاهطل	ddp	inclusive
الحمقين	ddp	inclusive
الشياطين	svp	inclusive
الشيطان الأكبر	rci	conservative
الصهاينة	rci	conservative
العن	svp	inclusive
الكيان الصهيوني	rci	conservative
المهبول	ddp	inclusive
انيك	asm	conservative
انيكك	asm	conservative
انيكها	asm	conservative
اهبل	ddp	inclusive
اهبلك	ddp	inclusive
اوسخ	cds	conservative
اوسخك	cds	conservative
بائعات الهوى	pr	inclusive
بالجزمة	cds	conservative
بالجزمه	cds	conservative
بدعي	ps	inclusive
بربر	ps	inclusive
بربري	ps	inclusive
بز	asf	inclusive
بزاز	asf	inclusive
بزازها	asf	inclusive
بزبي	asf	inclusive
بزر	asm	inclusive
بغايا	pr	conservative
بغل	an	inclusive
بغله	an	inclusive
بقرة	an	inclusive
بقره	an	inclusive
بهايم	an	conservative
بهيم	an	conservative
بهيمة	an	conservative
تافه	cds	conservative
تافهه	cds	conservative
تبا	svp	inclusive
تتناك	asm	conservative
تعالم	is	inclusive
تفه	cds	conservative
تكفيري	dmc	inclusive
تمص	asm	conservative
تنيك	asm	conservative
جبان	is	conservative
جحش	an	inclusive
جراثيم	an	inclusive
جربوع	an	inclusive
جزمة	cds	conservative
جزمه	cds	conservative
جهمي	ps	inclusive
حقير	cds	conservative
حقيرة	cds	conservative
