source_id	detector_language_code	label	inclusion_status	exclusion_reason	text	reason
germeval-2018@9877472d39523effd54cd079b4c61157ed141508/unsplit/test-001359	DE	toxic	excluded	audit_only	#Tagesschau Ihr seit solche verlogenen Arschlöcher !!!	behavior_panel_rule_evidence
germeval-2018@9877472d39523effd54cd079b4c61157ed141508/unsplit/test-001983	DE	toxic	excluded	audit_only	#Soros Du Reisen Arschloch !!!! Verrecke elendig!!!!	behavior_panel_rule_evidence
ibrohim-budi@be98de98e974b65838d2b5145ee2c89e9bf53a6b/unsplit/000382	ID	toxic	excluded	audit_only	perempuan kaya lo mending mati aja deh, jelek aja, gausa sok jadi make up artist!	behavior_panel_rule_evidence
ibrohim-budi@be98de98e974b65838d2b5145ee2c89e9bf53a6b/unsplit/005554	ID	toxic	excluded	audit_only	USER gaya bgt lo kampang mau gue tendang gak'	behavior_panel_rule_evidence
ibrohim-budi@be98de98e974b65838d2b5145ee2c89e9bf53a6b/unsplit/010172	ID	toxic	excluded	audit_only	USER USER Iri ae lu tolol'	behavior_panel_rule_evidence
k-mhas@ec7a7e775d650b825872f6f538fc717822cdfc1a/train/11842	KO	toxic	excluded	audit_only	달창남들아 진짜 작작좀해라. 30대남들 죽여버린다	accepted_task6_direct_threat
k-mhas@ec7a7e775d650b825872f6f538fc717822cdfc1a/train/27924	KO	toxic	excluded	audit_only	북괴돼지새끼 뒤졌으면 좋겠네	accepted_task6_harm_wish
k-mhas@ec7a7e775d650b825872f6f538fc717822cdfc1a/train/29609	KO	toxic	excluded	audit_only	넌늙은 🐕🐕🐕🐕새끼	accepted_task6_directed_insult
k-mhas@ec7a7e775d650b825872f6f538fc717822cdfc1a/train/33268	KO	toxic	excluded	audit_only	동성애는 사회악입니다 자살해주세요	accepted_task6_self_harm_command
offenseval-tr@official-v1/train/16626	TR	toxic	excluded	audit_only	hayır kedim de ben de ondan ne kadar haz etmediğimizi anlattık ısrarla sevmeye çalışıyor. kafanı kırarım senin yer biti.	behavior_panel_rule_evidence
offenseval-tr@official-v1/train/35659	TR	toxic	excluded	audit_only	@USER Geri zekalı. 18 yaş salaklığı bunlar tabii normal.	behavior_panel_rule_evidence
