lemma	category	level
aktrol	dmc	inclusive
akıl hastası	ddp	inclusive
alet	asm	inclusive
almancı	cds	inclusive
alçak	cds	conservative
am	asf	conservative
amcık	asf	conservative
amcıklar	asf	conservative
amcıklara	asf	conservative
amcıklarda	asf	conservative
amcıklardan	asf	conservative
amcıkları	asf	conservative
amcıkların	asf	conservative
amcıkta	asf	conservative
amcıktan	asf	conservative
amcığa	asf	conservative
amcığı	asf	conservative
amcığın	asf	conservative
amina	asf	conservative
amini	asf	conservative
amk	asf	conservative
amlar	asf	conservative
ampüte	ddf	inclusive
amq	asf	conservative
amı	asf	conservative
amına	asf	conservative
amına koduğum	asf	conservative
amına koduğumun	asf	conservative
amına koyayım	asf	conservative
amınakoyim	asf	conservative
angut	ddp	inclusive
aptal	ddp	conservative
aptallık	ddp	conservative
arap	ps	conservative
at hırsızı	re	inclusive
azdım	qas	inclusive
azgin	qas	inclusive
ağzına sıçmak	qas	conservative
aşağılık	cds	conservative
barbar	cds	inclusive
bayır turpu	cds	inclusive
bebek katili	re	conservative
beyinsiz	ddp	conservative
bok	qas	conservative
bok böceği	an	inclusive
boktan	qas	conservative
bokunu	qas	conservative
boyunsakal	ddf	inclusive
bozuntu	cds	inclusive
bozuntusu	cds	inclusive
boğulun	qas	conservative
boşalma	qas	inclusive
boşalmak	qas	inclusive
büzük	qas	inclusive
cehennem	svp	inclusive
cüce	ddf	inclusive
dalyarak	asm	conservative
davar	an	inclusive
dağ türkü	ps	conservative
defol	qas	conservative
defolma	qas	conservative
defolmak	qas	conservative
densiz	cds	inclusive
domalmak	qas	conservative
domuz	an	conservative
duyar kasmak	dmc	inclusive
döküntü	cds	inclusive
döl	qas	inclusive
dönek	dmc	inclusive
dönme	ps	conservative
dört göz	ddf	inclusive
dübür	qas	inclusive
düzmek	qas	conservative
düşük	cds	conservative
embesil	ddp	conservative
enayi	ddp	inclusive
eşek	an	inclusive
eşek beceren	an	conservative
eşşek	an	inclusive
fahişe	pr	conservative
fahişeler	pr	conservative
fare	an	inclusive
feminazi	dmc	inclusive
fuckbuddy	qas	inclusive
gavat	pr	conservative
gebermek	qas	conservative
geri kalmış	ddp	inclusive
gerici	dmc	inclusive
gerizekalı	ddp	conservative
gerzek	ddp	conservative
gâvur	ps	conservative
göt	qas	conservative
göte	qas	conservative
götler	qas	conservative
götlerde	qas	conservative
götlerden	qas	conservative
