source_id	language	toxic	text
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/000000	ar	1	هذوك الحمير يسبو ربي يقطع لسانهم
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/000001	ar	0	خبر موت شخص من حركة امل و اشخاص مردة و أشخاص ما الن علاقة بس بيكرهو جبران باسيل بعد كلام السيد نصرالله يكسر الص…
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/000002	ar	1	@User.IDX إلى قناة الخنزيرة مع عدم احترامي ،، وخصوصاً تامر المسحال هذه مادة دسمة ياليت تسوي عنها عنها حلقة او تحقيق صحفي بسيط او تعليق 👇🏼👇🏼 <url> 
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/000003	ar	0	يا معاليك  يا استاذ يا بش مهندس يا مواطن يا حضرة المسؤول!! لأيمتى السكوت.. اذا خايفين يبطلوا يستوردو من عنا انا بغطي النقص بميزان التجارة!! بس احكو كلمة عالقليلة!! 
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/000004	ar	0	رئيس مجلس النواب واسطته قوية و…
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/000005	ar	0	ههههههأنتم تونس نتفرج رخسكم وطحينكم ومتعجبين
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/000006	ar	0	 بص يا سهيله يا بنتي هوا انا مش فاهم حاجه بس انا موافق موافق 😂😂 
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/000007	ar	1	@User.IDX حيوان زي بقية صنفه.. الله غالب 
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/000008	ar	0	 ولا يهمك. انت محترفة وراقية ومهذبة. جايي الأيام.
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/000009	ar	0	لطفي بارك تلقى النوع بهدلهم ارواح للدزاير كثرو دين ربي
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/000010	ar	0	تونس روحت روحت باي باي الجزائر
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ar/000011	ar	0	"  يعني عم تمدحي إعلام لوتثبتي التهمة على العهد
مش حلو هيدا الأسلوب كل الناس بتعرف انو ال… ://./"
