split	label	text
development	clean	( ﾟдﾟ) ｶﾞﾀｯ  急がないと！   /  ヾ   ＿_L| /￣￣￣/＿   ＼/  /
development	clean	((((゜д゜;))))   もう戻らない？よな…
development	clean	(_ﾟ∀ﾟ) まかされちゃった
development	clean	.   こんなんで、来週の ぱよぱよ大行進 できるぱよ？
development	clean	090金融を貼らなかっただけ優しさが見える
development	clean	100円が100倍になってもたった1万円だぞ
development	clean	134人がたったの22人になったwww
development	clean	13世紀の話にノアをぶっ込む余地なんて無いだろ。   所で、北部九州に湖と呼べる湖沼は無いわけだがどこを調べたんだろうか。
development	clean	14秒だったかな   短い時間に連投するとそのスレに書けなくなることがあるよ
development	clean	15年くらい昔から、独特の朝鮮ヤクザテンションな輩の気配にネットストーキングの併せ技から、あそこは2チョンと揶揄していたが、やはりマジでしたと。
development	clean	1Kのスマホだと30字くらいまで、2Kだと35字くらいで改行が必要。
development	clean	1ヶ月後が本当の祭りであって   今はまだ「前夜祭」といったところですね
development	clean	1日で1200万ww   ディナーショー張りのサービスないと無理やろ   もしくは就活生向けにイオンの内定販売とか
development	clean	1行って何文字で1行なんだよ   400字詰め原稿用紙準拠か?   1レス幾らのほうが、まだ信憑性があんのにな
development	clean	2012年の総裁選の議員票で石破を選ばなかっただけマシだろ     これは決定的事実だ
development	clean	204を書き込んだ直後に思い立って、変な突っ込み入る前に但し書きを入れてみた！
development	clean	20代ならギリギリわかるけど40代でそれはねーよ。   甘ちゃんだよ。甘ったれだね。
development	clean	21年前に何があったのか...
development	clean	24時間TVドラマの結構重要な役だったんだっけ
development	clean	2800万だけどね     ソースは11/11
development	clean	2ch mateで見て来た。   <丶｀∀´> ←本当にこれ消えてたわ。     なんと露骨な。
development	clean	2chMateがスマホからの2ch閲覧数ダントツだから、影響力が大きいんだよねえ。   俺がスマホに変えた頃(auのCMでガガが歌ってた頃 2.0が最新だった)は、今みたいに2chMate一人勝ち状態じゃなかったんだが。
development	clean	2chで専門板見てたのであれば、   おーぷん2chの専門板にも行ってもらえれば…
development	clean	2chビューアー系を排除したときもひどかったな
development	clean	2ちゃんねる自体UIが古くて専ブラ依存が酷くて使いづらいんだよな
development	clean	50人の横の1315pvてのは何の数なの？   スレの閲覧者の累計？
development	clean	5弱ぐらいまではそんなに被害でかくならないけど、5強以上は危険が危ない（）
development	clean	64のを入れるべきかも毎度意見が別れる。
development	clean	6人公述人がいて今2人目   彼は最後だな
development	clean	900超えましたね   艦隊さんはまだお休みのようなので私が次スレ準備します
development	clean	<丶｀∀´> 同胞を庇うのは当然ﾆﾀﾞ！
development	clean	<丶｀∀´>ｳﾘの事嫌いﾆｶ？
development	clean	<｀Д´>     そっくりだなｗもう最近はあいつにしか見えないわｗｗｗ
development	clean	<｀Д´> 俺が酒呑んで話し合います！     まだいかないの？
development	clean	> 世銀など既存機関が築き上げてきた基準を採用すれば、     これ前から言ってるじゃん
development	clean	> 昔みたいに親の意向で強制結婚なんてもう無理だよね。     親の意向って親のほうが本人よりも相手への要求度が一般に高いぞ。   本人よりもその親のほうが相手の男が高収入かどうかを気にする。
development	clean	>ブログは(内容から比べると)かなり楽に読める   とは書いたけれど、自分は小坪さんのブログは楽しく読んでますけどね
development	clean	>先祖代代、生っ粋の日本人だけど、的なんだろうな。
development	clean	>前髪の生え際の流れ方とか、逆だっていいだろ     つまり本物はどんどん後退しているけど   肖像画では前進させても良いということだな
development	clean	>小幌駅は列車か船でしかたどり着けないアクセスの悪さから     列車に乗る人が住んでいたから、駅作ったんだよね？。   でも、何を生業にしていた人なんだろう？。
development	clean	>特定秘密にあたるような内部情報     どんな？
development	clean	>米軍が駐留している間は問題ない     そうでもない   リバランシングが必要な段階に入った
development	clean	>謎の不審船     ヽJJJJJJ ＜ウチのこと呼んだー？
development	clean	>譲渡時の権利問題をクリアにするため10月末を目処とし、すべてのログを破棄、及びログの保持機能を停止します。     過去ログ全破棄だとさ…
development	clean	ABCD包囲網を再現したいのかｗ
development	clean	AIIBは参加国が100国越えたようなニュースをここ両日で見た。
development	clean	Amazonでの買い物を辞めて、地元のスーパーで購入するだけでも全然違うんだけどね……   もっと言えば、普段はAmazonで買う物をケーズやヤマダで買うだけでも効果はあるぞ
development	clean	BTOで細かく設定出来るかもよ   無線式マウスとキーボードなら家電店にUSBにレシーバ差し込んで使うセットのがある   後付でも改善は出来る   タワー型は後からドライブ追加したりの拡張性に優れているから自作派にとっては必須
development	clean	B面は「私はやってなーいー」だっけか？
development	clean	DNA鑑定を義務付けりゃ男と同じで即再婚OKで良いのではないか…とも思ったが、産まれてからでは遅いって事もあるのかな？   残念な事ではあるが…
development	clean	DQNはそういうのに敏感そうだな
development	clean	EEZ内にミサイル撃ちこまれてるんだけどなぁ
development	clean	F-15J改の稼働率90%以上かつAAM-4、AAM-5等撃ち放しミサイルによる同時攻撃可能数6標的   vs 稼働率5割以下の露助製の劣化コピーで一応まだ優勢は取れてるんだがな。
development	clean	GENKINGには早急に画面から消えてもらいたい。
development	clean	Gとか言っちゃダメ！(；´Д｀)   そう見えて来ちゃう…
development	clean	ID:6WjzDXX26は結局なにがしたいの
development	clean	ID変えるソフトについては2chもopenも変わらんね
development	clean	IPS細胞でなんとかなるよね多分
development	clean	JJの予言 ってやつ   あれは恣意的に作られてるんだろうが   いろいろ興味深い
development	clean	KY珊瑚の件につきましては既につくる会の教科書が子どもに説明しておりますので御心配なく。
development	clean	LGBTPNZMSP   他にもまだまだあると思う。
development	clean	NHKのタクシー料とか騒いでる場合じゃないだろこれ
development	clean	NHKの予想は自民に関しては幅があるからわからないけど予想でもファーストは確定が多くてかなり席取ってる感じ
development	clean	NTT系列も居るのか   残りの文字読めないけど
development	clean	SCをまとめてるみたいだよ。このスレのまとめ依頼をしに行ったけど、   ＳＣのurlをって書いてあった。
development	clean	SLAPPを世に知らしめたのは新聞社の押紙訴訟だった覚えがある
development	clean	TPPバスもまだ発車してないから(白目)
development	clean	TRONの資産は生きてるかもしれないが再度の隆盛を迎える事はないだろう。
development	clean	Twitterで会って、すぐに相手の家に行くのはやめなさい！
development	clean	VPN通せば海外からも書き込めるので、   海外赴任者、留学生にもやさしい。
development	clean	Wi-Fi…今時ADSLなんておらだけ   ひかり来る予定まったく無し
development	clean	XBOXONEで最新作出てるよ。   ガッチャマンとかキャシャーンとか   タツノコプロ作品が初参戦してる。
development	clean	YESでもあり、NOでもある   WINWINの関係なんだろうけど
development	clean	YU-NOは今度リメイクするんだけど....
development	clean	ajitoシリーズを版権取り直して出してくれ。
development	clean	imgurが不調なのかね？ここからもアップ出来ないし   アプリから画像を削除する事すら出来ないのが２日続いてるよ
development	clean	janestyleの開発者はJimとズブズブだから無理なんじゃ
development	clean	openとscではopenの方が人が多そうだな
development	clean	payって付いてるのは中華コンテンツだと思ってるけど違うの？
development	clean	payイメージガタ落ちでd払い１人勝ちの予感
development	clean	scが出来た時、「scは潰す」って息巻いてたのにgdgdしてるうちに.netが消えましたとさ
development	clean	twitter4/4で更新止まってんねｗ   鎮火待ちなんやろなｗｗｗ
development	clean	twitterじゃなくてfacebookか、失礼   そうそうその事件のこと
development	clean	uLlでuLiじゃないから⊂（＾ω＾）⊃ｾﾌｾﾌ
development	clean	wikiみたら思いっきり俗説と書いてあって吹いたｗ
development	clean	xbox初代機の復刻もしてくれないかなあ   oneでも360でも遊べないゲームが遊びたいのに
development	clean	…そして、誰もいなくなった…。
development	clean	↑もっと評価されても良いと思うw
development	clean	≡ﾟωﾟ) そういえば奇食の館って今どうなってるんだっけ？
development	clean	┌────────┐   │ 輸出管理に関する│   │ 事務的説明会 │   └────────┘
development	clean	〇〇「二番じゃダメなんですか！？」
development	clean	「R４の何をもって信頼できるのか？詳しく説明する義務」とオレ注文。
development	clean	「やらせてみたらダメだった」ということを、   経験して知っている世代だからだよ。
development	clean	「スレを盛り上げるために」って供述してるから、むしろ韓国の記事を注目させようとしてたみたいなんだが
development	clean	「ハイヤーにガソリンを入れるのは、バスへの対抗心だ」って言ってたような
development	clean	「仮面の忍者赤影」の実写化は評価が分かれるな   ストイックな原作と、怪獣が何匹も出てきて赤影がビームで倒す実写化   どっちがいいかなあ
development	clean	「唐突なオセロゲーム」かな？   あれは、笑った
development	clean	「大声を出してゴメンナサイ」じゃないもんな   「大声を出してないけど大声に聞えちゃったみたいだねｗ」   「大声じゃないけど大声に感じさせちゃってごめんねｗ」
development	clean	「家をきれいにするには人間がいなければ良いんだ」って発想になる人は目標設定が間違ってるからAI開発に向いてないよ
development	clean	「将軍」という言い方はされるらしい   「元帥」の方が一般的らしいけど   永久欠番にした肩書きは「総書記」   だから自分は「第一書記」なんだと
development	clean	「巨人の星」の替え歌で「お前～仕込んだ～な～」ってあったよね
development	clean	「市民」「反戦」「人権」辺りにはもう悪い意味がついてしまったからなあ
development	clean	「心の友よ」とかどう訳されるんですかね
development	clean	「我が」を発言者一個人のことと解釈することって普通ないよねぇ   ほとんどの場合、発言者が所属する組織や集団を意味する言葉として解釈する     一部の方言では「わが」を自分一個人という意味で使うことがあるけどｗ
development	clean	「我が国」「我が社」という言い方があるように、   当然に「我が軍」も個人を指すものではない。
development	clean	「文科相が総連との密接な関係にある」   ちょっと待てよ。これってものすごく由々しい問題なんじゃないの
development	clean	「旧基地」ということではなかろうか
development	clean	「朝日新聞が抱える『三つ目の吉田問題』」として今後も語り継ごう
development	clean	「法的な意味」が理解できない50代か
development	clean	「波紋を呼びそうだ」「より深い議論が求められる」と同じ手法ですね。
development	clean	「父ちゃんは日本一の日雇い人夫だ」ってセリフ、アニメでは   カットされてるんだよなあ。
development	clean	「軍人になる者だけがタダで学べるのだ」
development	clean	「（-@∀@）あなたに断る権利はない」     お気に入りにしたｗ
development	clean	『こんだけ騒ぎになったんだからその後は対策するっしょ』という、何の根拠も無い楽観かと
development	clean	『三つ目の吉田問題』って表現いいね！思い出しやすい。
development	clean	【日米以外しか参加してないAIIB】
development	clean	あ、、、その一部が日本からとかみたいな展開も、、、
development	clean	あ、刑務所じゃなくて警察署だったw
development	clean	あ、良かった   俺の認識が間違ってるのかと不安になったわ
development	clean	あ、違った   国立大生ではなかった気がする   どこだっけ
development	clean	あぁ、そういえば俺は●の騒ぎで懲りたんだった。   ●を買ってたのはちょっとした黒歴史だなw
development	clean	ああ、増毛、なくなる方向で動いてるぞ
development	clean	ああ、過去ログ吹っ飛ぶし専門板もこれ以上バブエに居続ける理由もなくなったのか
development	clean	ああ見えても、かつて小泉首相を応援する歌とか歌ってたんだぜ。
development	clean	ああ隼鷹か   あのキャラ嫌いじゃないんだよな
development	clean	あいよ、おやすみー。またくるといいでー
development	clean	あくまで"比較して"の話でしょうが…
development	clean	あそこはマジで工作員張り付いてそうだよ。
development	clean	あっ、５ｃｈのν速＋で禁止ソースにされたゲンダイさんだｗ
development	clean	あっごめん   今、真面目な話してるから後でな
development	clean	あっちでおーぷんのURL貼れないんだよねー
development	clean	あと、自社のTVKハウジングとか、ヨコカンとかね   地元企業密着なのかもしれないが、大手企業のcmは少ないね     たまに静岡のイノシシ最中のcmもあるけど
development	clean	あとから法律をつくって未来永劫金をむしり取るって   どっかに似てるな・・・あ、隣かｗ
development	clean	あとさ   食に関してはやむ得ない場合食べても良い   って教えのなかにもあるんじゃなかった？
development	clean	あと２年もあるんだ。   平昌では、日本とは比べ物にならない素晴らしい伝説になるオープニングを演出すればいい
development	clean	あなたの近くにも、難民はいます――     はい、そうですか
development	clean	あなたは、築地に建て替えるべきと考えているの？
development	clean	あなたは優しいな   来年有るかも怪しいと思ったが
development	clean	あのかねどこから調達してんだろ   一回で数千万行くこと有るだろ
development	clean	あのときの騒ぎは、あれはあれで面白かったけどな。   自分も当事者だったけど。
development	clean	あのね…   建物にはそれぞれ高さ、形状によって固有周期がある   低層の建物なんて地盤が劣悪でない限り適当に設計してもそんな簡単に倒壊しないよー
development	clean	あのサザエさんみてェーな髪形を再現しちゃうのか…すげー
development	clean	あのブロック塀は違法らしいね   塀に直角につける支えが無いそうだ
development	clean	あのミンジョクは投げる前から刺さってるのがデフォだからな・・・
development	clean	あの日は朝に震度6強があって、大きいのはその夜に震度4の余震があっただけ。一発屋だったな。   油断してたらでかいのが来るんだろうか
development	clean	あの旨そうな漁師飯には意味があるんだな
development	clean	あの騒動のときにStyleからDoe Viewに切り替えたわ   微妙に使い勝手が…
development	clean	ありがとう。   細かいところまで見てなくて区別してなかった。
development	clean	あるねぇ。   このままだと手ぶらだし、岸田が色気出してる風だし w
development	clean	あれ、不思議とたまに食いたくなるんだよね…   日本のより塩分が半分くらいで、しょっぱくないのが良い     日本製で辛いラーメンのスープを半分だけ使ってカイエンペッパーとか足せば、同じ味になるかな～？
development	clean	あれ、日本と考えが一致した。   お互い距離を置けばウィンウィンでいいね。   日本もこれで距離が置けるし。
