split	label	text
development	clean	        واحد يسأل لبنانية ايش اسمك. قالت (يارا ياسين ) <>وانته شو اسمك <>قال. يا حاء. يا جيم<>😂😂😂😂😂😂😂😂<>🏃🏃🏃🏃🏃🏃🏃🏃<>من الامراض التي ليس لها علا
development	clean	   _ ما فيكِ تقولي هيك وتبعتوا مراسلة متل نانسي السبع تعمل محلل سياسي!!!!!
development	clean	   افايا خو روضه ياما نخيناك ولا رد يا حيف يا بن ثانى يا طير السعد تحياتى الشمرى
development	clean	   اليورباليغ بياخذه يا ارسنال يا تشيلسي خذها مني وتاهلنا للرابع مابيكون له فايده
development	clean	   بلا كذب وافتراء تضامنكن مع جويس مختلف كثيرا  عن تضامنكن مع ما تعرض له مندوبات… ://./4
development	clean	   تكرم عينك هاي سكرين شوت للقيادات وخلينا نشوف اذا رح يتبناك السيد
development	clean	   حبيبي يمنى وديما وأشكالهم الصحفيات هدول بكون طريقة الرد تهكومية وتركيز على نق… ://./559
development	clean	   من غير سكور يا مسعد يا حبيبي انا بقولها لنفسي كل يوم الصبح    😂😂😂😂😂😂😂
development	clean	   منحبك نجوى كل لبنان بحبك يا شمس الغنية يا علم لبنان يا فخر وعزة كل الدني. انتِ المثل الاعلى لكل الفنانين
development	clean	   نعم لبنان يثور وهم يحاولون تحريف الثوار عن الفاسدين \r\nوالسعودية هي رأس الفجور… ://./07
development	clean	   هيدي حجة كل السلطات على مدى كل الثورات و الاحتجاجات ، التهديد بالفراغ ،
development	clean	   يا اهل الرياض يا بختكم انتم مع سلطانه شيرين
development	clean	   يا تريزيجيه يا جامد تسلم قدمك ياجميل..
development	clean	   يا جوعان يا ويلكم منا لا زملنا .. <>ولا تهقا وقعاتنا ماهي شنيعة .. <>لا جهلنا وخروا عنا لاجهلنا ..<>مكتوب لأعدانا الذل والهزيعة ..
development	clean	   يا عيب الشوم ع هيك رجال.. عم يستقوا ع بنت لحالها وهي عم تعمل شغلها كصحفية.… ://./7
development	clean	   يوم ما السفينه تغرق هنكون بنقرا قبلها الفاتحه ع القارب ب اللي فيه يا سيد الناس يا مريسه 🛶 ممكن نحدف عوامه بطه 🐣نلحق صحاب القارب 😂✋🏻
development	clean	  #كلنا_ديما_صادق\r\nتقدر تقول واحده بالاعلام المصري كله \r\nايقونة الإعلام اللبناني بعيدا عن التضليل
development	clean	  _ جيبي موافقة من بكركي والمفتي وانا بمشي معك
development	clean	  إنت رمز الحرية ، حرةّ وبتضلّلي حرةّ ، \r\n ديما عروس طرابلس ! \r\nطرابلس عروس الثورة.
development	clean	  اعطينا دليلك الحسي ان الوزير باسيل هو من ضغط انت تبثين فتنة و لا اعلم تاريخك لكن ما قرأته م… ://./3
development	clean	  اكيد اكيد اكيد 👍👍👍ونثق فيك يا حكيم لبنان يا عظيم 👌👌👌👌
development	clean	  اكيد التغيير جاية\r\nبالأخص بوجود أشخاص متلك يمنى ❤️
development	clean	  الحلو بالموضوع إنو المسيحي و المسلم اجتمعوا على غنية هيلا هيلا هووو...
