lemma	category	level
'sti cazzi	asm	inclusive
'sto cazzo	asm	inclusive
affanculo	qas	inclusive
arrogante	cds	inclusive
arroganti	cds	inclusive
arrusa	om	conservative
arruso	om	conservative
bagascia	pr	conservative
bagascione	pr	conservative
bagassa	pr	conservative
baggianata	cds	inclusive
baldracca	pr	conservative
balena	ddf	conservative
baluba	ps	conservative
bamboccione	is	inclusive
bastarda	cds	conservative
bastarde	cds	conservative
bastardi	cds	conservative
bastardo	cds	conservative
battona	pr	conservative
battone	pr	conservative
befana	ddf	inclusive
befane	ddf	inclusive
belino	asm	conservative
bigotti	is	inclusive
bigotto	is	inclusive
bimbaminkia	cds	inclusive
bimbominkia	cds	inclusive
bischeraggine	ddp	inclusive
bischero	ddp	inclusive
bocchinara	asm	conservative
bocchinaro	asm	conservative
bocchini	asm	conservative
bocchino	asm	conservative
bofilo	om	conservative
boiata	cds	inclusive
branco	cds	inclusive
brinca	om	conservative
bucaiola	om	conservative
bucaiole	om	conservative
bucaioli	om	conservative
bucaiolo	om	conservative
budiùlo	om	conservative
bufu	om	conservative
bugiarda	cds	inclusive
bugiardi	cds	inclusive
bugiardo	cds	inclusive
burini	is	inclusive
burino	is	inclusive
busone	om	conservative
cacare	qas	inclusive
cacata	qas	inclusive
cacate	qas	inclusive
cacca	qas	inclusive
cafone	is	inclusive
cagare	qas	inclusive
cagna	an	conservative
cagone	cds	inclusive
cagotto	cds	inclusive
canaglia	cds	inclusive
casta	dmc	inclusive
casto	dmc	inclusive
cattedratico	is	inclusive
cavolate	qas	inclusive
cazzaro	cds	inclusive
cazzata	cds	inclusive
cazzate	cds	inclusive
cazzi	asm	conservative
cazzo	asm	conservative
cazzone	asm	conservative
cazzoni	asm	conservative
cazzuto	asm	conservative
cessi	ddf	conservative
cesso	ddf	conservative
che merda	qas	inclusive
che palle	qas	inclusive
checca	om	inclusive
checche	om	inclusive
chiappa	qas	inclusive
chiappe	qas	inclusive
chiavare	asm	conservative
chiavata	asm	conservative
ciarlatani	cds	inclusive
cinegro	ps	conservative
ciucciacazzi	asm	conservative
clandestina	ps	conservative
clandestini	ps	conservative
clandestino	ps	conservative
coglionaggine	cds	inclusive
coglionata	cds	inclusive
coglionatura	cds	inclusive
coglione	cds	inclusive
coglioneria	cds	inclusive
coglioni	cds	inclusive
collotorto	is	inclusive
comunista	dmc	inclusive
comunisti	dmc	inclusive
conno	asf	inclusive
contadiname	is	inclusive
cornuti	cds	inclusive
cornuto	cds	inclusive
cortigiana	pr	inclusive
crepare	qas	inclusive
cretina	ddp	inclusive
cretinata	cds	inclusive
cretinate	cds	inclusive
cretini	ddp	inclusive
cretino	ddp	inclusive
cristo	svp	inclusive
crucca	ps	conservative
crucchi	ps	conservative
crucco	ps	conservative
crumiro	is	inclusive
culaccio	qas	inclusive
culattina	om	conservative
culattona	om	conservative
culattone	om	conservative
culattoni	om	conservative
culi	qas	inclusive
culo	qas	inclusive
culona	ddf	inclusive
culone	ddf	inclusive
cunnu	asf	inclusive
dannata	svp	inclusive
dannate	svp	inclusive
dannati	svp	inclusive
dannato	svp	inclusive
deficiente	ddp	conservative
deficienti	ddp	conservative
dio boia	svp	conservative
dio cane	svp	conservative
dio maledetto	svp	conservative
donnacchera	pr	conservative
donnaccia	pr	conservative
donnaccola	pr	conservative
donnetta	cds	inclusive
dottorame	is	inclusive
ebete	ddp	conservative
ebeti	ddp	conservative
faccia di merda	qas	conservative
falascià	ps	conservative
fancazzismo	cds	inclusive
fancazzista	cds	inclusive
fancazzisti	cds	inclusive
fanculo	qas	inclusive
farabutta	cds	conservative
farabutti	cds	conservative
farabutto	cds	conservative
fascista	dmc	inclusive
fascisti	dmc	inclusive
feccia	cds	conservative
fessa	asf	inclusive
fessacchiotta	ddp	inclusive
fessacchiotte	ddp	inclusive
fessacchiotti	ddp	inclusive
fessacchiotto	ddp	inclusive
fessi	ddp	inclusive
fesso	ddp	inclusive
fica	asf	inclusive
figa	asf	inclusive
fighe	asf	inclusive
figlia di puttana	qas	inclusive
figlio di puttana	qas	inclusive
filosofastro	is	inclusive
finocchi	om	conservative
finocchio	om	conservative
fottere	qas	inclusive
fottersene	qas	inclusive
fottersi	qas	inclusive
fotti	qas	inclusive
fottio	qas	inclusive
fottitore	qas	inclusive
fottuta	qas	inclusive
fottuti	qas	inclusive
fottuto	qas	inclusive
fregarsene	qas	inclusive
fregna	asf	inclusive
froci	om	conservative
frocia	om	conservative
frociaggine	om	conservative
frocio	om	conservative
froscio	om	conservative
gentaglia	cds	inclusive
giaurro	ps	conservative
giuda	cds	inclusive
giullare	cds	inclusive
gnocca	asf	inclusive
gretto	cds	inclusive
guardone	cds	inclusive
idiota	ddp	conservative
idioti	ddp	conservative
ignorante	cds	inclusive
ignoranti	cds	inclusive
imbecille	ddp	conservative
imbecilli	ddp	conservative
imputtanare	cds	inclusive
inchiappettare	asm	conservative
inculare	asm	conservative
ingroppare	asm	inclusive
invertito	om	conservative
ipocrita	cds	inclusive
istrione	cds	inclusive
itagliana	is	inclusive
itagliano	is	inclusive
lazzaro	is	inclusive
leccaculi	cds	inclusive
leccaculo	cds	inclusive
lecchina	cds	inclusive
lecchine	cds	inclusive
lecchini	cds	inclusive
lecchino	cds	inclusive
leone da tastiera	cds	inclusive
limonare	asm	inclusive
maiala	an	conservative
maiale	an	conservative
maledetta	svp	inclusive
maledette	svp	inclusive
maledetti	svp	inclusive
maledetto	svp	inclusive
maleducati	cds	inclusive
maleducato	cds	inclusive
mangiapatate	om	conservative
mangiapolenta	ps	conservative
mangiarane	ps	conservative
mannaggia	svp	inclusive
maranza	is	inclusive
marocchini	ps	inclusive
marocchino	ps	inclusive
megera	ddf	conservative
merda	qas	inclusive
merdaccia	qas	inclusive
merdaio	qas	inclusive
merdaioli	qas	inclusive
merdaiolo	qas	inclusive
merdata	qas	inclusive
merde	qas	inclusive
merdina	qas	inclusive
merdona	qas	inclusive
merdone	qas	inclusive
merdosa	qas	inclusive
merdosamente	qas	inclusive
merdosi	qas	inclusive
merdoso	qas	inclusive
meschina	cds	inclusive
meschino	cds	inclusive
mignotta	pr	conservative
mignottocrazia	pr	inclusive
minchia	asm	conservative
minchiata	cds	inclusive
minchiate	cds	inclusive
minchionaggine	ddp	inclusive
minchione	ddp	inclusive
minchioneria	ddp	inclusive
minchioni	ddp	inclusive
mona	asf	inclusive
mongoli	ddp	conservative
mongolo	ddp	conservative
mongoloide	ddp	conservative
mongoloidi	ddp	conservative
montanaro	is	inclusive
moscio	asm	inclusive
muli	an	inclusive
mulo	an	inclusive
mussa	asf	inclusive
nana	ddp	conservative
nanerottolo	ddp	conservative
nani	ddp	conservative
nano	ddp	conservative
negra	ps	conservative
negraccio	ps	conservative
negre	ps	conservative
negri	ps	conservative
negro	ps	conservative
neofascistico	dmc	inclusive
nera	ps	inclusive
nerchia	asm	conservative
neri	ps	inclusive
ominide	ddp	inclusive
omuncolo	cds	inclusive
paesucolo	is	inclusive
pagliacci	cds	inclusive
pagliaccia	cds	inclusive
pagliaccio	cds	inclusive
palle	qas	inclusive
pappone	pr	inclusive
paraculata	cds	inclusive
paraculo	cds	inclusive
parassiti	cds	inclusive
pariolino	is	inclusive
passera	asf	inclusive
passerona	asf	inclusive
patacca	asf	inclusive
patonza	asf	inclusive
pecora	an	inclusive
pecore	an	inclusive
pecorizzare	an	inclusive
pelacani	is	inclusive
peripatetica	pr	inclusive
peripatetiche	pr	inclusive
pezzente	is	inclusive
pezzo di merda	qas	conservative
piantagrane	cds	inclusive
pidiota	dmc	inclusive
pinnolone	asm	inclusive
pippa	asm	inclusive
pippaiolo	asm	inclusive
pippone	asm	inclusive
pipponi	asm	inclusive
pirla	ddp	inclusive
plebaglia	is	inclusive
plebe	is	inclusive
