lemma	category	level
abestunta	ddp	inclusive
abestunto	ddp	inclusive
abestuntos	ddp	inclusive
abobado	ddp	inclusive
advogado de porta de cadeia	pa	inclusive
aidético	ddf	conservative
alma de merda	cds	conservative
analfabruta	ddp	inclusive
analfabruto	ddp	inclusive
analfabrutos	ddp	inclusive
apaneleirada	om	conservative
apaneleirado	om	conservative
apaneleirados	om	conservative
apparatchik	dmc	inclusive
arrieiro	is	inclusive
arrombada	cds	inclusive
arrombado	cds	inclusive
arrombados	cds	inclusive
babaca	qas	inclusive
babacas	qas	inclusive
bagos	asm	inclusive
baianada	ps	inclusive
baianadas	ps	inclusive
baitola	om	conservative
baitolas	om	conservative
baleia	ddf	conservative
baleias	ddf	conservative
bestunta	ddp	inclusive
bestunto	ddp	inclusive
bestuntos	ddp	inclusive
beócio	ddp	inclusive
beócios	ddp	inclusive
biba	om	conservative
bibas	om	conservative
bicha	om	inclusive
bicha-louca	om	conservative
bicha-loucas	om	conservative
bichas	om	inclusive
bichona	om	conservative
bichonas	om	conservative
biscoiteira	pr	conservative
biscoiteiro	pr	conservative
boba	qas	inclusive
bobalhão	qas	inclusive
bobo	qas	inclusive
boceta	asf	inclusive
boche	ps	conservative
boches	ps	conservative
boiola	om	conservative
boiolagem	om	conservative
boiolagens	om	conservative
boiolas	om	conservative
boiolice	om	conservative
boiolices	om	conservative
bolsominion	dmc	inclusive
boquete	asm	inclusive
boqueteiro	asm	inclusive
bosta	cds	inclusive
bostas	cds	inclusive
bostejar	cds	inclusive
bostileiro	cds	inclusive
broche	asm	inclusive
brochista	asm	inclusive
broxa	asm	inclusive
broxar	asm	inclusive
buceta	asf	inclusive
burra	ddp	inclusive
burranha	ddp	inclusive
burranho	ddp	inclusive
burranhos	ddp	inclusive
burro	ddp	inclusive
burros	ddp	inclusive
cabeça de bagre	ddp	inclusive
cabeça de merda	cds	conservative
cabrão	an	inclusive
caceta	asm	inclusive
cacete	asm	inclusive
cadela	an	conservative
cadelas	an	conservative
caduca	ddf	inclusive
caduco	ddf	inclusive
caducos	ddf	inclusive
cagada	cds	inclusive
cagado	cds	inclusive
cagalhão	cds	inclusive
cagando e andando	cds	inclusive
cagar	cds	inclusive
cagar e andar	cds	inclusive
cagão	cds	inclusive
caipira	is	inclusive
campónio	is	inclusive
canalha	is	inclusive
canalhas	is	inclusive
capetalismo	dmc	inclusive
capitão do mato	is	conservative
capitão-do-mato	is	conservative
cara de cu	cds	inclusive
cara de pau	cds	inclusive
caralha	asm	inclusive
caralho	asm	inclusive
caralhos	asm	inclusive
carcamana	ps	conservative
carcamano	ps	conservative
carcamanos	ps	conservative
cavaquistão	rci	inclusive
caçanje	ps	conservative
caçanjes	ps	conservative
chauvinismo	dmc	inclusive
chauvinista	dmc	inclusive
chinoca	ps	conservative
chinocas	ps	conservative
chochota	asf	inclusive
chupa-me o caralho	asm	conservative
chupa-me os colhões	asm	conservative
clubismo	dmc	inclusive
cocô	cds	inclusive
colhão	asm	inclusive
colhões	asm	inclusive
com o cu na mão	asm	conservative
comunista de iphone	dmc	inclusive
comunistoide	dmc	inclusive
cona	asf	inclusive
corja	is	inclusive
corna	an	conservative
corno	an	conservative
cornos	an	conservative
cornudo	an	conservative
coronelismo	dmc	inclusive
coxa-branca	ps	inclusive
coxa-brancas	ps	inclusive
cretina	ddp	inclusive
cretino	ddp	inclusive
cretinos	ddp	inclusive
crica	asf	inclusive
crioula	ps	conservative
crioulo	ps	conservative
crioulos	ps	conservative
crl	cds	inclusive
cu	asm	inclusive
cu de judas	asm	inclusive
curra	asm	conservative
currar	asm	conservative
cuzinho	asm	inclusive
cuzão	asm	inclusive
de merda	cds	conservative
debiloide	ddp	conservative
debiloides	ddp	conservative
descerebrada	ddp	inclusive
descerebrado	ddp	inclusive
descerebrados	ddp	inclusive
desgraçada	cds	inclusive
desgraçado	cds	inclusive
desgraçados	cds	inclusive
desmunhecar	om	conservative
diaba	svp	inclusive
diabo	svp	inclusive
diabos	svp	inclusive
diacho	svp	inclusive
direitola	dmc	inclusive
dum raio	cds	inclusive
emboaba	ps	conservative
emboabas	ps	conservative
emboiolar	om	conservative
encalhado	qas	inclusive
energúmeno	qas	inclusive
escrota	ddp	inclusive
escrotice	ddp	inclusive
escrotices	ddp	inclusive
escrotidão	ddp	inclusive
escroto	ddp	inclusive
escrotos	ddp	inclusive
escumalha	is	inclusive
esperta	qas	inclusive
espertalhão	qas	inclusive
esperto	qas	inclusive
esporra	asm	inclusive
esporrar	asm	inclusive
esporro	asm	inclusive
esquerdalha	dmc	inclusive
esquerdar	dmc	inclusive
esquerdomacho	dmc	inclusive
esquerdopata	dmc	inclusive
esquerdopatas	dmc	inclusive
esquerdopatia	dmc	inclusive
esquerdoso	dmc	inclusive
esquisito	qas	inclusive
evanjegue	ps	inclusive
evanjegues	ps	inclusive
facho	dmc	inclusive
falastrão	cds	inclusive
fanchão	om	conservative
fanchões	om	conservative
fascista	dmc	inclusive
fdp	pr	conservative
fds	cds	inclusive
felação	asm	inclusive
feminazi	dmc	inclusive
feminazismo	dmc	inclusive
feministo	dmc	inclusive
fideputa	pr	conservative
filhadaputagem	pr	conservative
filho da puta	pr	conservative
filho duma rapariga	pr	conservative
filho duma égua	pr	conservative
foda	asm	conservative
foda-se	asm	conservative
fodas	asm	conservative
fode-fode	asm	conservative
foder	asm	conservative
fodida	asm	conservative
fodido	asm	conservative
folgada	qas	inclusive
folgado	qas	inclusive
franciú	ps	conservative
franciús	ps	conservative
fuque-fuque	asm	conservative
gado	an	inclusive
gayzada	om	inclusive
gayzadas	om	inclusive
gayzismo	om	inclusive
gayzismos	om	inclusive
gayzista	om	inclusive
gayzistas	om	inclusive
gentalha	is	inclusive
golpista	dmc	inclusive
gordice	ddf	inclusive
gordices	ddf	inclusive
gozada	asm	inclusive
gozadas	asm	inclusive
gringolândia	rci	inclusive
gringolândias	rci	inclusive
histrião	qas	inclusive
histérico	qas	inclusive
homossexualismo	om	inclusive
homossexualismos	om	inclusive
idiota	ddp	inclusive
idiota útil	ddp	inclusive
idiotas	ddp	inclusive
imbecil	ddp	inclusive
imbecis	ddp	inclusive
imunda	cds	inclusive
inconsequente	qas	inclusive
inferno	cds	inclusive
infernos	cds	inclusive
ir ao cu	asm	conservative
ir para o caralho	asm	conservative
isentão	dmc	inclusive
japinha	ps	inclusive
japinhas	ps	inclusive
japoronga	ps	conservative
japorongas	ps	conservative
jeca	is	inclusive
jumenta	an	inclusive
jumento	an	inclusive
kct	cds	inclusive
kit gay	om	conservative
krl	cds	inclusive
kulak	dmc	inclusive
labrego	is	inclusive
lacaio	is	inclusive
lacrador	dmc	inclusive
lacrar	dmc	inclusive
lacração	dmc	inclusive
lacre	dmc	inclusive
lacrolândia	dmc	inclusive
larápio	re	inclusive
lazarenta	ddf	inclusive
lazarento	ddf	inclusive
lazarentos	ddf	inclusive
levar no cu	asm	conservative
lulopetismo	dmc	inclusive
macaca	ps	conservative
machista	dmc	inclusive
machistas	dmc	inclusive
machona	om	conservative
machonas	om	conservative
machorra	om	conservative
machorras	om	conservative
mal comida	pr	conservative
mal-acabado	cds	inclusive
mala sem alça	is	inclusive
maldita	cds	inclusive
maldito	cds	inclusive
malditos	cds	inclusive
mamada	asm	inclusive
mamar	asm	inclusive
maricas	om	conservative
maricona	om	conservative
mariconas	om	conservative
maricão	om	conservative
maricões	om	conservative
marqueteiro	pa	inclusive
marrana	ps	conservative
marrano	ps	conservative
marranos	ps	conservative
matuto	is	inclusive
mauricinho	is	inclusive
megera	ddf	conservative
megeras	ddf	conservative
mendigar	is	inclusive
mentecapta	ddp	inclusive
mentecapto	ddp	inclusive
mentecaptos	ddp	inclusive
merda	cds	inclusive
merdas	cds	inclusive
merdeste	ps	conservative
merdestes	ps	conservative
merdosamente	cds	inclusive
merdoso	cds	inclusive
metida	qas	inclusive
metido	qas	inclusive
mijada	cds	inclusive
mijar	cds	inclusive
mijão	cds	inclusive
mimimi	dmc	inclusive
mocorongo	is	inclusive
monga	ddp	conservative
mongo	ddp	conservative
mongol	ddp	conservative
mongoloide	ddp	conservative
mongoloides	ddp	conservative
mongos	ddp	conservative
monhé	ps	conservative
monhés	ps	conservative
monte de merda	cds	conservative
mouro	ps	inclusive
mouros	ps	inclusive
mulher pública	pr	conservative
mulher-homem	cds	inclusive
mulher-macho	cds	inclusive
mulherzinha	cds	inclusive
nanica	ddf	inclusive
nanico	ddf	inclusive
nanicos	ddf	inclusive
nazista	dmc	inclusive
nazistas	dmc	inclusive
negrice	ps	conservative
negrices	ps	conservative
no cu do mundo	asm	conservative
novo-rico	is	inclusive
otário	ddp	inclusive
otários	ddp	inclusive
palerma	qas	inclusive
palhaça	cds	inclusive
palhaçada	cds	inclusive
palhaçadas	cds	inclusive
palhaço	cds	inclusive
pamonha	qas	inclusive
panaca	qas	inclusive
panasca	om	conservative
panascas	om	conservative
paneleira	om	conservative
paneleiro	om	conservative
paneleiros	om	conservative
papista	ps	inclusive
papistas	ps	inclusive
paraíba	ps	inclusive
paraíbas	ps	inclusive
patricinha	is	inclusive
patriotada	dmc	inclusive
patriotário	dmc	inclusive
patético	qas	inclusive
pau no cu	asm	conservative
pau no cu de	asm	conservative
pau-mandado	is	inclusive
peidar	cds	inclusive
peidorreiro	cds	inclusive
peidão	cds	inclusive
peteminion	dmc	inclusive
petralha	dmc	inclusive
petralhada	dmc	inclusive
petralhas	dmc	inclusive
pica	asm	inclusive
piranha	pr	conservative
piriguete	pr	conservative
pirobo	pr	conservative
piroca	asm	inclusive
pirocas	asm	inclusive
piru	asm	inclusive
pixaim	ps	conservative
pixains	ps	conservative
playboy	is	inclusive
pobre-diabo	is	inclusive
pobretão	is	inclusive
populacho	is	inclusive
porca	an	conservative
porco	an	conservative
porcos	an	conservative
porra	cds	inclusive
porra de	cds	inclusive
porra nenhuma	cds	inclusive
porrar	cds	inclusive
porras	cds	inclusive
portuga	ps	inclusive
portugas	ps	inclusive
pqp	cds	inclusive
privataria	dmc	inclusive
punheta	asm	inclusive
punhetar	asm	inclusive
puta	pr	inclusive
puta que pariu	pr	conservative
puta que te pariu	pr	conservative
