lemma	category	level
अंध भक्तों	dmc	inclusive
अंधभक्त	dmc	inclusive
अंधभक्ति	dmc	inclusive
अंधभक्ती	dmc	inclusive
अंधभक्तों	dmc	inclusive
अफ़लातून	qas	inclusive
आंदोलनजीवी	dmc	inclusive
उल्लू	ddp	inclusive
उल्लू का पट्ठा	ddp	inclusive
उल्लू के पट्ठे	ddp	inclusive
ओ तेरी	dmc	inclusive
औक़ात	qas	inclusive
औकात	qas	inclusive
कंगलू	is	inclusive
कटुआ	ps	conservative
कटुए	ps	conservative
कटुवे	ps	conservative
कटुवो	ps	conservative
कठमुल्ला	ps	conservative
कठमुल्ले	ps	conservative
कमबख़्त	dmc	inclusive
कमबख्त	dmc	inclusive
कमिना	dmc	inclusive
कमिनी	dmc	inclusive
कमिने	dmc	inclusive
कमीना	dmc	inclusive
कमीनी	dmc	inclusive
कमीने	dmc	inclusive
कमीनों	dmc	inclusive
कलूटा	ps	inclusive
कलूटी	ps	inclusive
काफ़िर	ps	conservative
काफिर	ps	conservative
काफिरों	ps	conservative
कालू	ps	inclusive
कीड़े	an	inclusive
कुतिया	an	inclusive
कुत्ता	an	inclusive
कुत्ती	an	inclusive
कुत्ते	an	inclusive
कुत्ते की मौत	svp	conservative
कुप्पा	ddf	inclusive
कूतिया	an	inclusive
कोठा	pr	inclusive
कोठेवाली	pr	inclusive
खज्जू	asm	inclusive
खटमल	an	inclusive
खटारा	ddf	inclusive
ख़ुशामदी टट्टू	dmc	inclusive
गंडफट	asm	inclusive
गंडफ़ट	asm	inclusive
गंडफ़टी	asm	inclusive
गंडमरी	asm	inclusive
गंडमरे	asm	inclusive
गंडिए	asf	inclusive
गंडिया	asf	inclusive
गंडिये	asf	inclusive
गंवार	is	inclusive
गद्दार	dmc	conservative
गद्दारी	dmc	conservative
गद्दारों	dmc	conservative
गधा	an	inclusive
गधी	an	inclusive
गधे	an	inclusive
गपोड़पंथ	dmc	inclusive
गपोड़पंथी	dmc	inclusive
गांड	asm	conservative
गांडफ़ाड़ू	asm	inclusive
गांडफाड़ू	asm	inclusive
गांडू	asm	conservative
गुंडा	dmc	conservative
गुंडी	dmc	conservative
गुंडे	dmc	conservative
गुज्जू	ps	inclusive
गुदा	asm	inclusive
गुदा छेद	asm	inclusive
गोटी	asm	inclusive
गोदी मीडिया	dmc	inclusive
गोबर	ddp	inclusive
घटिया	qas	inclusive
घनचक्कर	ddp	inclusive
घुसेड़	asm	inclusive
घुसेड़ना	asm	inclusive
घोंचू	ddp	inclusive
चड्डी	dmc	inclusive
चमचा	dmc	inclusive
चमची	dmc	inclusive
चमचे	dmc	inclusive
चमचो	dmc	inclusive
चमचों	dmc	inclusive
चमार	ps	conservative
चमारों	ps	conservative
चरसी	is	inclusive
चश्मिश	ddf	inclusive
चाय पानी	dmc	inclusive
चिंकी	ps	conservative
चुड़ैल	om	inclusive
चुत	asf	conservative
चुतिया	ddp	conservative
चुदक्कड़	asm	inclusive
चुदना	asm	inclusive
चुदने	asm	inclusive
चुदवाना	asm	inclusive
चुदा	asm	inclusive
चुदाई	asm	inclusive
चुदाईखाना	asm	inclusive
चुदाना	asm	inclusive
चुदावनी	asm	inclusive
चुदी	asm	inclusive
चूची	asf	inclusive
चूचीयों	asf	inclusive
चूत	asf	conservative
चूतड़	asf	inclusive
चूतमरा	asm	inclusive
चूतर	asf	inclusive
चूतिया	ddp	conservative
चूतिया कटना	ddp	inclusive
चूतिया काटना	ddp	inclusive
चूतियागिरी	ddp	inclusive
चूतियापा	ddp	inclusive
चोद	asm	inclusive
चोदना	asm	inclusive
चोदमपट्टी	qas	inclusive
चोदा	asm	inclusive
चोदी	asm	inclusive
चोदू	asm	inclusive
चोदेंगे	asm	inclusive
चोदो	asm	inclusive
चोर	re	inclusive
चौदवा ना	asm	inclusive
चौदवाना	asm	inclusive
छक्का	om	inclusive
छपरी	is	inclusive
छिनाल	dmc	conservative
छोकरी	om	inclusive
जयचंद	dmc	inclusive
जानवर	an	inclusive
जाहिल	is	inclusive
जिहादन	ps	conservative
जिहादियों	ps	conservative
जिहादी	ps	conservative
जेहादी	ps	conservative
झंडू	ddp	inclusive
झांट	asm	inclusive
झांटू	asm	inclusive
झूठा	dmc	inclusive
झूठी	dmc	inclusive
झूठे	dmc	inclusive
टट्टी	cds	inclusive
टट्टी करना	cds	inclusive
टुकड़े टुकड़े गैंग	dmc	inclusive
ठुल्ला	pa	inclusive
ठुल्ली	pa	inclusive
डिक	asm	inclusive
डेढ़ फुटिया	ddf	inclusive
ढक्कन	ddp	inclusive
तवायफ़	pr	inclusive
दक़ियानूसी	dmc	inclusive
दल्ला	pr	conservative
दल्ले	pr	conservative
देहाती	is	inclusive
धत साले	dmc	inclusive
नंगा	qas	inclusive
नंगी	qas	inclusive
नकटा	ddf	inclusive
नकटी	ddf	inclusive
नपुंसक	ddp	inclusive
नशाख़ोर	is	inclusive
नशेड़ी	is	inclusive
नालायक	ddp	inclusive
नालायक़	ddp	inclusive
निकम्मा	ddp	inclusive
निकम्मी	ddp	inclusive
नीच	dmc	inclusive
पाखंडी	dmc	inclusive
पाजी	dmc	inclusive
पिछवाड़ा	asf	inclusive
पिल्ला	an	inclusive
पिल्ली	an	inclusive
पिल्ले	an	inclusive
फट्टू	ddp	inclusive
फ़ट्टू	ddp	inclusive
फ़ाड़ना	asm	inclusive
फ़ुकरा	ddp	inclusive
फ़ुकरी	ddp	inclusive
फाड़ना	asm	inclusive
फुद्दी	asf	conservative
फेंकना	qas	inclusive
बकचोद	qas	inclusive
बकचोदी	qas	inclusive
बकवास	qas	inclusive
बहन के लौड़े	asm	conservative
बहनचोद	asm	conservative
बुड्ढा खूंसट	ddf	inclusive
बूब्स	asf	inclusive
बेवक़ूफ़	ddp	inclusive
बेवकूफ	ddp	inclusive
बेवकूफ़ी	ddp	inclusive
बेवड़ा	is	inclusive
बेवड़ी	is	inclusive
बेशर्म	qas	inclusive
बोबे	asf	inclusive
बौड़म	ddp	inclusive
भंगियों	ps	conservative
भंगी	ps	conservative
भड़वा	pr	conservative
भड़वे	pr	conservative
भड़ुआ	pr	conservative
भड़ुवे	pr	conservative
भाड़ मे जाओ	dmc	inclusive
भेनचोद	asm	conservative
भैनचोद	asm	conservative
भोंदू	ddp	inclusive
भोसड़पप्पू	asf	conservative
भोसड़ा	asf	conservative
भोसड़ी	asf	conservative
भोसड़ीका	asf	conservative
भोसड़ीकी	asf	conservative
भोसड़ीके	asf	conservative
भोसड़ीवाला	asf	conservative
भोसड़ीवाली	asf	conservative
भोसड़ीवालों	asf	conservative
भौंक	an	inclusive
मक्कार	dmc	inclusive
मच्छर	an	inclusive
मद्रासी	ps	conservative
मल्लू	ps	inclusive
माँ चोदना	asm	conservative
मां के लौड़े	asm	conservative
मां चुदाए	asm	conservative
मां चुदाओ	asm	conservative
मादरचोद	asm	conservative
मादरचोदों	asm	conservative
मुंह में लेना	asm	conservative
मुठ मारना	asm	inclusive
मुल्ला	ps	conservative
मुल्ले	ps	conservative
मुल्लो	ps	conservative
मुल्लों	ps	conservative
मूर्ख	ddp	inclusive
म्लेच्छ	ps	conservative
रंडी	pr	conservative
रंडी रोना	dmc	inclusive
रंडीखाना	pr	inclusive
रांड	pr	inclusive
रेवड़ी की राजनीति	dmc	inclusive
रेवड़ी पॉलिटिक्स	dmc	inclusive
रेवड़ी राजनीति	dmc	inclusive
रेवड़ीवाल	dmc	inclusive
लँगड़ा	ddf	conservative
लंगड़ा	ddf	conservative
लंड	asm	conservative
लण्ड	asm	conservative
लन्ड	asm	conservative
लवड़ू	asm	inclusive
लुल्ली	asf	inclusive
लौंडा	om	inclusive
लौंडिया	om	inclusive
लौड़ा	asm	inclusive
लौड़ू	asm	inclusive
शिट	cds	inclusive
संघी	dmc	inclusive
सरग़ना	dmc	inclusive
साठे पर पाठा	dmc	inclusive
साला	dmc	inclusive
साली	dmc	inclusive
साले	dmc	inclusive
सालो	dmc	inclusive
सुअर	an	conservative
सुअरों	an	conservative
सुतिया	ddp	conservative
सुवर	an	conservative
