id	pos	category	stereotype	lemma	level
FR00001	n	an	no	blaireau	inclusive
FR00002	n	an	no	blaireaux	inclusive
FR00003	n	an	no	bourricot	inclusive
FR00004	n	an	no	bovin	inclusive
FR00005	n	an	no	bovinement	inclusive
FR00006	p	an	no	brebis galeuse	inclusive
FR00007	n	an	no	buse	inclusive
FR00008	n	an	no	caniche	inclusive
FR00009	n	an	no	chameau	inclusive
FR00010	p	an	no	chien de chrétien	inclusive
FR00011	p	an	no	chien de la casse	inclusive
FR00012	n	an	no	chienne	inclusive
FR00013	p	an	no	chienne de chrétienne	inclusive
FR00014	p	an	no	chienne de la casse	inclusive
FR00015	n	an	no	chiennes	inclusive
FR00016	n	an	no	crapaud	inclusive
FR00017	n	an	no	crapaude	inclusive
FR00018	n	an	no	dindasse	inclusive
FR00019	n	an	no	dinde	inclusive
FR00020	n	an	no	dindes	inclusive
FR00021	n	an	no	dindonne	inclusive
FR00022	n	an	no	guenon	inclusive
FR00023	n	an	no	hongre	inclusive
FR00024	v	an	no	loup-cervier	inclusive
FR00025	p	an	no	mouton noir	inclusive
FR00026	n	an	no	oie	inclusive
FR00027	n	an	no	porc	inclusive
FR00028	n	an	no	porcas	inclusive
FR00029	n	an	no	porcasse	inclusive
FR00030	n	an	no	porcin	inclusive
FR00031	n	an	no	porcs	inclusive
FR00032	n	an	no	sagouin	inclusive
FR00033	n	an	no	sagouine	inclusive
FR00034	n	an	no	salope	conservative
FR00035	n	an	no	thon	inclusive
FR00036	p	an	no	triple buse	inclusive
FR00037	n	an	no	truiasse	inclusive
FR00038	n	an	no	truie	inclusive
FR00039	n	an	no	truyasse	inclusive
FR00040	n	an	no	vache	inclusive
FR00041	n	an	no	veau	inclusive
FR00042	n	an	no	veaux	inclusive
FR00043	n	asf	no	berlingue	inclusive
FR00044	n	asf	no	bigornette	inclusive
FR00045	n	asf	no	boucaque	inclusive
FR00046	n	asf	no	cachina	inclusive
FR00047	n	asf	no	cagoince	inclusive
FR00048	n	asf	no	cagouince	inclusive
FR00049	n	asf	no	chagasse	inclusive
FR00050	n	asf	no	chagatte	inclusive
FR00051	n	asf	no	chatte	inclusive
FR00052	n	asf	no	chiabrena	inclusive
FR00053	n	asf	no	choune	inclusive
FR00054	n	asf	no	clito	inclusive
FR00055	n	asf	no	cramouille	inclusive
FR00056	n	asf	no	fente	inclusive
FR00057	n	asf	no	foufoune	inclusive
FR00058	n	asf	no	foufounette	inclusive
FR00059	n	asf	no	foune	inclusive
FR00060	n	asf	no	minou	inclusive
FR00061	n	asf	no	moule	inclusive
FR00062	n	asf	no	moule-bite	inclusive
FR00063	p	asf	no	néo chatte	inclusive
FR00064	n	asf	no	néo-chatte	inclusive
FR00065	n	asf	no	plotte	inclusive
FR00066	n	asf	no	schnek	inclusive
FR00067	n	asm	no	baise	inclusive
FR00068	v	asm	no	baiser	inclusive
FR00069	n	asm	no	baises	inclusive
FR00070	n	asm	no	baisé	inclusive
FR00071	n	asm	no	biroute	inclusive
FR00072	v	asm	no	biroutier	inclusive
FR00073	n	asm	no	bite	inclusive
FR00074	n	asm	no	bites	inclusive
FR00075	n	asm	no	bitte	inclusive
FR00076	n	asm	no	branle	inclusive
FR00077	n	asm	no	branles	inclusive
FR00078	n	asm	no	burne	inclusive
FR00079	n	asm	no	burnes	inclusive
FR00080	n	asm	no	burné	inclusive
FR00081	n	asm	no	chibre	inclusive
FR00082	p	asm	no	concours de bite	inclusive
FR00083	n	asm	no	couille	inclusive
FR00084	p	asm	no	couille de loup	inclusive
FR00085	p	asm	no	couille de mammouth	inclusive
FR00086	n	asm	no	couilles	inclusive
FR00087	n	asm	no	cul	inclusive
FR00088	n	asm	no	culs	inclusive
FR00089	v	asm	no	défoncer	inclusive
FR00090	n	asm	no	encule	inclusive
FR00091	v	asm	no	enculer	inclusive
FR00092	n	asm	no	enculé	conservative
FR00093	n	asm	no	enculés	inclusive
FR00094	n	asm	no	fdp	inclusive
FR00095	n	asm	no	fils-de-puterie	inclusive
FR00096	n	asm	no	filsdeputerie	inclusive
FR00097	n	asm	no	fion	inclusive
FR00098	n	asm	no	foutres	inclusive
FR00099	p	asm	no	garage à bite	inclusive
FR00100	p	asm	no	garage à bites	inclusive
FR00101	n	asm	no	gland	inclusive
FR00102	p	asm	no	gros cul	inclusive
FR00103	n	asm	no	gros-cul	inclusive
FR00104	p	asm	no	peau de couille	inclusive
FR00105	p	asm	no	peau de zob	inclusive
FR00106	n	asm	no	peigne-cul	inclusive
FR00107	n	asm	no	peigne-zizi	inclusive
FR00108	n	asm	no	pine	inclusive
FR00109	n	asm	no	pogne-cul	inclusive
FR00110	n	asm	no	popaul	inclusive
FR00111	n	asm	no	popol	inclusive
