document	label
"자한당틀딱들.. 악플질 고만해라."	2,4
정치적으로 편향된 평론한은 분은 별로...	8
적당히좀 쳐먹지.그랬냐??? 안그래도 문재인 때문에 나라 엉망진창인데...	2
"안서는 아재들 풀발기 ㅋㄲㅋ"	4
우와 ㅋ 능력자	8
맛녀석 콩트보다 약했음맛녀석 애청자로써 70%실력발휘	8
주영훈 솔직히 호감임 잉꼬부부로 소문났잖아	8
이게주간아이돌이랑머가달라...	8
아오 슈박 회사생활도 졑깥고 돈벌기 힘들어 죽겠구만 뭔 저딴것들 자꾸 tv나와서 사람 짜증나게하냐 외국서 편히살려면 아닥하고 살아라 대한민국서 취미로 돈벌어가지말고 좀 끄지라고!	3
"문재인 하는게 뭐 별거있냐?ㅂㅅㅅㅋ가 하는짓인데 어련하겠어.ㅋㅋㅋ"	2,3
공통점은 한국남자?	8
이재진은 그게문제가아니자나 지금 ㅋㅋㅋㅋ	8
"야이 OOO 색햐. 주체사상 황장엽 국립묘지에 십어넣은 이명박은 어쩔래 드으응OOO아."	3
소지섭 걸어다니는 인간 수면제나피디가 편집을 잘하겠지만걱정된다.ㅠ.ㅠ	8
원중씨........... 잘가요........ 잘살아요..........	8
50어 애나서 언제 길러요?	8
정신나간년들 나라 돌아가는건 1도 모르지	3
"중국은 무슨 암덩어리 같음 어떻게 저렇게 세계각지에 골고루 민폐만 끼치냐"	0
알바풀었나 많이본뉴스 이프로그램기사 댓글하고 반응이 180도 다르네 ㅋㅋㅋ 의미없는 찬양질 왜케많냐 여긴	8
택이 아부지 카리스마 뿜뿜	8
기사에 낚이는 ㅂㅅ같은 댓글러들	3
김태리.. 나 3대째 돼지농장주 고석환의 신부후보 16위.. 하지만 오늘 9위로 올라갔다. 좀더 분발해라	8
지가 괜찮다는데 니들은 좀 닥₩/₩치고있어라 대리도 못단 새!.!3!;끼들이 말은 존/&나게 많네 ㅋㅋ	3
대체 모자란게 뭐지 완벽하네	8
다들 오지랖 좀...되게 할 짓 없어보여요	8
"찌질한 새끼들.... 왜? 동양 남자는 무섭냐?"	3
개나소나 트로트 가수래 노래 존나 못부르네	3
절세미녀라 좋아했었는데 통수친거보고 정뚝떨. 여우짓 ㅈㄴ싫음ㅋㅋㅋㅋㅋ 무튼 행쇼~	3
지인이란넘?지인 맞어 ㅋㅋ	8
몬생긴 여자인간들은 찌그러져있어라 확그냥 막그냥	1,5
송중기는 사진에도 없구만..ㅋㅋ송혜교♡고양이.ㅋㅋㅋ	8
도대체 ㅋㅋㅋㅋ어디서 방송사 갑질이 튀어나온거?? 지금까지 밝혀진 사실은 전부 고현정 갑질이던데???ㅋㅋㅋㅋㅋㅋ촬영거부, 감독지시거부, 촬영이탈, 밀치고욕하는폭력행사 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 왜갑자기 고현정을 불의에 맞서싸누는 잔다르크행인지 ㅋㅋㅋㅋㅋ여자들 진짜 무논리	5
