source_id	language	toxic	text
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000000	ja	1	信者は米国ではなく売国政党が非難されてる事を理解出来ない
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000001	ja	1	逃げ回る安倍チンゾー   支持率は3割台   森友説明納得せず8割
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000002	ja	1	まああの韓国やからな(´・ω・`)   むしろ防疫に注力したら韓国ちゃうわ
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000003	ja	1	そうだよな、靖国神社に奉納しろよ。   外人に余計な金回すぐらいなら直ぐにやれよ。
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000004	ja	1	総力上げて5チョン潰すぞ   専ブラ制作者に5チョン非対応にするよう呼び掛ける
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000005	ja	1	アベがーとかじゃなくてさ   ネトウヨが普段中国は死者を鞭打つ国ーとか言ってるからその矛盾はどうなのよと
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000006	ja	1	かかったな！   この窃盗犯は金福満、料理長は金満福だがや
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000007	ja	1	御大の絵は十分エロかったけど、悩みはあるんだな   つーか、あんな量の連載やっといてまだ練習するとかエグイなｗ
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000008	ja	1	だな。     死刑になって殉教者になるぐらいの覚悟が必要。
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000009	ja	1	それ言ったらハゲに無料でカツラを支給しないのは差別になるぞ
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000010	ja	1	全くその通りだと思う。     今日は飲み過ぎで定量オーバーw
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000011	ja	1	4年前は韓国フェアとやらをやったあとで   法則発動とか言われてムカついたから   敢えてざまあと言いたい山梨県民
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000012	ja	1	共産党は熊本の地震を見て募金詐欺ならやらかしたけどなｗ
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000013	ja	1	いや恐ろしいのは大衆というやつだわ     民主主義の自殺を招くのも大衆だ
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000014	ja	1	ホイミンが瀕死のライアンの口にからあげ詰め込むのか。
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000015	ja	1	ヒトラーって姪と愛人関係にあったんだっけ？ 姪は自○したけど
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000016	ja	1	殺人犯を擁護して妄想で責任転嫁するなんて   まるでどっかの国ですね
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000017	ja	1	韓国人大使が日本人活動家にやられた場合（あり得んが）の反応も凄そうだ   容易に想像できる
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000018	ja	1	おおごめん古いニュース見てた   選挙終わってアホック知事になってからもデモが継続してるんだね
textdetox@01907546324b0330d2d8b7669648cc18823323e5/ja/000019	ja	1	何故あの明らかなチョン顔を信用したりしちゃう人が多いのか・・
