source_id	language	toxic	text
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000000	es	1	A este tambien lo habia que echar porque era una puta mierda, como Cumic
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000001	es	1	la mañana coincidió que charlando de mis labios, en sus brazos y le metió un dedo en el baño aqui la conti porque estuve un rato hasta que senti espero que les había prometido que viajaría a Veracruz, inmediatamente vino a la vida de El mago de petarda de se lo da, una voyeur se masturba muy placenteramente en casa
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000002	es	1	El vídeo del que todo el mundo habla XD « Jordi Porn – Todos los videos de Jordi el polla – Web NO OFICIAL de Jordi Porn – Jordi el Polla ¡Hola chavales! si, era a mi al que le estaban haciendo la mamada en el metro del vídeo del que todo el mundo habla
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000003	es	1	del peor error de mexico queda claro que fue un fosil de la unam, y el chocoflan va a escuela privada, pendejo no es el cacas y doña zopi
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000004	es	1	antes de irme a trabajar la abuela me folla
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000005	es	1	"Para mí, la única diferencia que hay entre estas y las que están en la Bolita del Mundo es que las últimas son de piel oscura, sin educación, de clase baja, con los cabellos ""enemiguitos"" y que tienen un chulo sin dientes que la espera en la esquina"
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000006	es	1	Ahora se llena esto de gentuza kasposa catalufa y vascolufa
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000007	es	1	El libro lo quiero pero a Samantha no la soporto: no se puede ir de pija flocerilla en su programa y de bruja de blancanieves en masterchef
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000008	es	1	Al Chino le precede ese agrio olor a carne podrida y macerada en salsa de ostras incorruptas
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000009	es	1	Sexo lésbico es trampa sexual
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000010	es	1	Mira esta escena sensual para ver por qué estas chicas traviesas con el coño afeitado saben cómo divertirse
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000011	es	1	Tal vez la peor plaga que asola a España sea la maldita inmigracion
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000012	es	1	Pero que a un niño normal o a un niño anormal lo adopte una pareja de anormales no es razonable
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000013	es	1	“Le creé un perfil a mi hermana y porque cuando yo subía alguna foto de ella a mis redes sociales mis amigos siempre le hacían preguntas a la perra”
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000014	es	1	Si los ejércitos dejaran de reclutar a gente pobre y estúpida, ¿qué sería de nosotros? El problema es que él no es una excepción, sino más bien la expresión de una norma
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000015	es	1	pero es que estos socialistas, no me jodas, son una panda de traidores comepollas que no hay quien los soporte
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000016	es	1	Las mujeres no deberían desarrollar tareas fuera de casa ya que supone un impedimento importante a la hora de poder amamantar al hijo, y más aún cuando se quiere hacer una lactancia a demanda
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000017	es	1	Pero Dios nos salve de la vuelta de Pep, aunque nos motiva, quién se aguanta a la marica mala con 13 puntos de ventaja
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000018	es	1	hacele un favor al mundo y morite
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000019	es	1	A menudo solemos relacionar a los hooligans, esos degenerados de cabeza rapada, chupas de cuero y «botas de pisar negros», con el lado oscuro, deleznable y siniestro del fútbol
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000020	es	1	""" // ""Le gusta pillársela con papel de fumar porque es una pelota de mierda que quiere hacerse la cumplidora"
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000021	es	1	Odie a todo varón hetero cis con el que estuve alguna vez
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000022	es	1	Evidentemente en el transcurso de la obra estudia tanto la psicología de las supuestas putas como la de los clientes
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000023	es	1	¿Puede el libro de un puto, izquierdoso, feminista y libertario volarnos la cabeza de amor?
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000024	es	1	Bajo esa logica si las feminazis no existen tampoco los machistas
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000025	es	1	"Me parece correcto luchar con cosas retrógradas como el fanatismi religioso, el racismo, la discriminación y todo tipo de xenofobia, lo que sí me parece aun mas retrógrado es que existan grupos que se ofendan hasta porque un pajarito cague sentado y no de pie, cosas como el feminazismo y la tal ""identidad de género"" en serio que me parecen una idiotez, pasan de ser un grupo que reclama sus derechos, a ser un grupo que perjudica los derechos del bando de los ""straight"""
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000026	es	1	el trata de tomar el papel de un tiburón equipado con un rayo láser y de tratar de sobrevivir el mayor tiempo posible del demagogo mensaje feminazi
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000027	es	1	el feminismo es “un movimiento que busca poner a las mujeres por encima de los hombres” y es un movimiento social llevado a cabo por lunáticas o “feminazis”
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000028	es	1	Y ahora la potencial sustituta de aquél, Zapata, una inefable Alba López Mendiola, a la que no hace falta que la defina nadie, lo ha hecho ella por sí y de sí, como lema para su escudo: “Bollera, camionera, desviada, leñera feminazi”
textdetox@01907546324b0330d2d8b7669648cc18823323e5/es/000029	es	1	Esto no se puede tolerar más, estas energúmenas, bien llamadas feminazis, muy crecidas tras criminalizar y denigrar al varón con el beneplácito y apoyo del Ministerio de Igualdad, con el dinero de todos los españoles, se permiten el lujo de blasfemar contra lo más sagrado
