lemma	category	level
аспид	an	inclusive
баран	an	inclusive
бревно	an	inclusive
быдло	an	conservative
быдлёнок	an	inclusive
вороньё	an	inclusive
вошь	an	inclusive
выдра	an	inclusive
выморозок	an	inclusive
выползень	an	inclusive
выползыш	an	inclusive
выхухоль	an	inclusive
гад	an	inclusive
гадина	an	inclusive
гадова жабра	an	inclusive
гадюка	an	inclusive
гадюка рыжая	an	inclusive
гадюку	an	inclusive
гадёнок	an	inclusive
гадёныш	an	inclusive
гамадрил	an	inclusive
гнида	an	inclusive
гнидный	an	inclusive
грызун	an	conservative
гусь	an	inclusive
доска	an	inclusive
дрова	an	inclusive
дубьё	an	inclusive
ебала жаба гадюку	an	inclusive
жаба	an	inclusive
живец	an	inclusive
жила	an	inclusive
зверьё	an	inclusive
зверюга	an	inclusive
змеиная векша	an	inclusive
змей	an	inclusive
змеюка	an	inclusive
змея	an	inclusive
змея подколодная	an	inclusive
змеёныш	an	inclusive
индюк	an	inclusive
ишак	an	inclusive
кабан	an	inclusive
каракатица	an	inclusive
клешня	an	inclusive
клуша	an	inclusive
кляча	an	inclusive
кобелина	an	inclusive
кобыла	an	inclusive
кобылий сын	an	inclusive
коза	an	inclusive
козлина	an	inclusive
козлоногий	an	inclusive
козлы	an	inclusive
козёл	an	inclusive
корова	an	inclusive
кошатина	an	inclusive
кошатник	an	inclusive
кролик	an	inclusive
крольчиха	an	inclusive
крыса	an	inclusive
крысёныш	an	inclusive
курица	an	inclusive
лягва	an	inclusive
мерин	an	inclusive
мойва	an	inclusive
мокрая курица	an	inclusive
муфлон	an	inclusive
мышка	an	inclusive
обезьян	an	inclusive
обезьяна	an	inclusive
обезьяны	an	inclusive
образина	an	inclusive
овца	an	inclusive
огузок	an	inclusive
одёр	an	inclusive
олень	an	inclusive
опарыш	an	inclusive
оскотиниться	an	inclusive
ослица	an	inclusive
ослоеб	an	inclusive
падаль	an	inclusive
паразит	an	inclusive
парнокопытное	an	inclusive
пиявица	an	inclusive
порося	an	inclusive
поросячья рожа	an	inclusive
псина	an	inclusive
псовка	an	inclusive
