split	label	text
development	clean	 Advertidos quedan, tengan cuidado con él, es muy inteligente y sabe hablar chino.
development	clean	 el alcalde del municipio Miranda, Pablo “Pito” Acosta puso en Frente a los pronósticos meteorológicos
development	clean	" Aparentemente, el esperma de Onán era más valioso que el propio Onán.
development	clean	" En el tupi y en el guarani, los dos dialectos de la lengua hablada por los indios del Brasll, yuká significa matar
development	clean	" Manolo tiene un bajo cociente intelectual --lo que antiguamente se conocía como oligofrenia (del griego “poca mente”)--, pero eso no ha impedido que se sienta integrado laboral y socialmente
development	clean	"A mí lo que más me gusta de ser camionera es justamente eso, ser una mujer en un camión", agrega Virginia
development	clean	"Cada esperma es sagrado, cada esperma es grande.
development	clean	"De acuerdo con un análisis del movimiento de la luna, parece que la luna es hueca: si los datos astronómicos se reducen, se encuentra que los datos requieren que el interior de la luna es menos denso que las partes exteriores En efecto, parecería que la luna es más como un hueco que una esfera homogénea." (5)
development	clean	"El hecho de no incluir a los hombres en el feminismo es tratarlos como idiotas" @sharoncalderong @NTNrpa
development	clean	"Mis dos hijos ayudan a los refugiados a no morir ahogados en el mar" https://t.co/FTnt65e9Pv vía @EPentretodos
development	clean	"No importa si la ciencia del calentamiento global es toda falsa - el cambio climático ofrece la mejor oportunidad para lograr la justicia y la igualdad en el mundo."
development	clean	"Puta PSG" cantaban en el Camp Nou. Luis Enrique dice que el comportamiento de la afición increible. Valores del FCB.
development	clean	"Que un niño pueda llevar el apellido de su madre es simplemente justicia", señaló Pisapia
development	clean	"Vamos España, somos un país grande con una economía fuerte, resistiremos de forma unida, tenemos todas las herramientas para vencer los problemas y salir adelante como un gran país. Nuestro futuro comienza hoy, nosotros somos la generación que cambiará el destino de España."
development	clean	"¿Por qué debe la Tierra sea hueca y por qué debe haber un agujero en cada polo?"
development	clean	#21D  | La Ley d’Hondt ha ayudado al PP durante muchos años a gobernar. Hoy es el bloque independentista el que se beneficia de las circunscripciones y pese a no ganar las #EleccionesCataluna volverán a gobernar.
development	clean	#ElCascabel26J Y ahora, por si la abuela no se había puesto interesante aparece el Rojo pájaro charrán en "vuelo rasante" a la mierda.
development	clean	#Eleccions21D #EleccionesCataluna:  1. La mayoría independentista se ha repetido. 2. No más al 155. ¡Y libertad a l… https://t.co/aD3hhZuS2r
development	clean	#goya2017 joder el director de orquesta quien es? El hombre de negro? 😎Ridículo eh!!!
development	clean	'A ver con qué me encuentro al llegar al curro, espero que no hayan roto España mucho' declaró a la prensa
development	clean	, manteniendo rasgos propias, así mismo manifestaciones culturales tales como el idioma maya, con distintas variantes o dialectos que varían dependiendo de la zona
development	clean	, por lo que nunca te van a «disputar» si tú moñaco hace algo o no
development	clean	- "Maricón" lo usan los heteros para oprimir a los gays  - Un gay no puede oprimir a otro gay por ser gay  - Lo usamos para que no afecte tanto cuando un homófobo de mierda nos lo llama  It's not that deep chica https://t.co/ofMnujtEZi
development	clean	- Joder mamá, es que no sabes ni utilizar el whatsapp.  - Ni tú plancharte una camisa con treinta años, mongolo...!!!  vía @kikolo777
development	clean	- no os preocupeis tanto! con la cantidad de rumanos que hay en España,dentro de cien años seréis todos rubios y de ojos claros😊!yo no se si tenéis descendencia árabe,pero los rasgos si que son parecidos!también las costumbres! Gracias Carlota, como bien dices un pakistaní no tiene nada de “moro” y en cambio los españoles si
development	clean	-(niño)papá ella se ha pasado el semáforo en rojo con la bici! -es que la srta no sabrá los colores  La srta era yo con mi cara d vergüenza
development	clean	-A ver, ¿qué animal tiene las orejas grandes, la trompa larga y la piel gris? - Un elefante, maestra.
development	clean	-Porque todos tenemos miedo, seamos de derechas o de izquierdas, estemos con la República o no una bomba te mata igual
