split	label	text
development	clean	"나도 남자지만" 이러고 댓글 달지마 여자들아
development	clean	"성폭행하려고 해서 토막내줬어요!" 그건가?????????
development	clean	"어느 날 자고 일어나보니 조국이가 제 남편이 되어 침대에 들어와있지 뭡니까?"
development	clean	"전 페미니스트 변호삽니다"
development	clean	# 탈바지운동 # 남성의 몸은 음란물이 아니다
development	clean	#Me too 헬스 5년넘은 몸좋은 20대 남자인데, 알바할때마다 여자 사장과 아주머니들이 힙업됐다며 틈만나면 엉덩이 손으로 두들기고, 이두만지는건 기본에 최근엔 복근까지보여달라하더군요.
development	clean	#워너원 괜찮아 #배주현 해명해
development	clean	'누나 저 마음에 안들죠?'' 말하신분 맞죠?
development	clean	( 폐미 = 메갈 )맞죠? 😎😎😎
development	clean	((담배 꽁초)) 가지고 다니면 됩니다. (밀폐용기) 사용하면 냄새 확산 예방 가능~
development	clean	(≥∀≤)/ 블보, 핑보 흥해라
development	clean	(나영석pd >> 김대주 작가 >> 김태호pd)... (이서진>>유재석)...요즘은 이게 현실이다ㅠ
development	clean	(스포) 장교수 죽지마 ㅠㅜ
development	clean	(역시 여자들도 똑같구나. 그런데 성욕이 50대에도 있나?)
development	clean	(주)예수 집회서 증오만이 가득하였네. ㅎㅎㅎ. 교회세습도 합법화되는 집단인데 뭘.
development	clean	(쿵쾅쿵쾅~)지진인가??
development	clean	*나 혼자 산다*덕분에 실체가 들어나는 군요~
development	clean	,
development	clean	-_- 뭐만 비슷하면 표절이래...전 작곡자가 말하길 음원4마디까진 표절이 아니라고 했다..==뭐만 하면 난리야,..
development	clean	. 오리지널코믹스빠로써 아무리 영화라서 너프했다해도 타노스 너무 약하게나옴. 풀템타노스가 어떤 존재냐 풀템시 5대본질이 한꺼번에 덤벼도 팔하나로발라버리는데 티어 등급조차 없는 눈에 뵈도 않는것들하고 싸우고있음. 2.거대대장장이로 티리온 형님나와서 좋았음. 오래전 한 인터뷰에서 반농담으로 기회되면 거인역활 맡고 싶다고했는데... 살짝 뭉클함 3. 인피 파트2는 2019.5.6 개봉예정임 모르시는분들 엔딩때 뭐지 하는 표정보니 웃겼음
development	clean	..
development	clean	...
development	clean	... 나만 그 군대 시트콤 인 줄 알았냐??????????
development	clean	... 위로 못해주겠네요
development	clean	.... 가루지기는요?
development	clean	.... 진짜 열받네 젝키 팬이냐? 조유경 기자?
development	clean	.....
development	clean	......
development	clean	...... 저기 있는 아저씨 모습이 딸이 낳은 손녀 보는 느낌임.... ㄷㄷ
development	clean	....... 생긴데로 논다... 병원에 빨리 가봐라 니네 보스랑 같이.
development	clean	........
development	clean	.................
development	clean	........싫어졌다
development	clean	.....국내영화는?
development	clean	...ㅈ.
development	clean	...비주얼좀 되는애들이 앞자리에좀앉지..
development	clean	...여기 댓글 왜이럼 나는 괜찮기만 하구먼
development	clean	...여자들이나 이쁘다하지.. 물롬 가끔 남자도잇고
development	clean	...일본여친은 불매안하냐...이시국 타령... 적당히들하셈..
development	clean	..그곳은 50대...원래 어린늠들은 성욕이 왕성해서 늙은 여자한테도 끌림..근데 30 넘어서 성욕 떨어지기 시작하면..왠만큼 어리고 이쁜 여자 아니면 무감각해짐..근데..접때 마누라가 50대가 되면..정말 자실하고 싶을듯..백모양 남편은 30대 접어드니깐 너무 과로와서 마약까지 했잖아..ㅋㅋㅋ..
development	clean	..북한 앞잡이라 문통 욕하는 자한당아 니들은 왜ㅜ일본이ㅜ저럴땐 가만히있냐....썅
development	clean	.소지섭 많이 늙은거 같네
development	clean	.오ㅐ 2월 15일이냐구 ㅜㅜ가고싶다구
development	clean	.잼께 봄
development	clean	0.05면 약한데 봐줘라..
development	clean	007 찍냐? 진짜 나이먹고 뭐하는거야 자식보기 부끄럽지 않나..
development	clean	018 걸리버 cf 기억나는 사람? ㅋ
development	clean	04년생인데 엄마 뱃속에서 태교로 들었는데 눈물나더라
development	clean	0ㅏ직도 순사가잇나 에이 요즘경찰아니겟지 외정때 완자줫더니 조선인만 잡던데 쯔
development	clean	1. 목격자 증언2. 비슷한 전력으로 보험회사 그만둠3. 최근 김흥국에게 돈으로 보상 얘길 꺼냄이정도면 답나오지 않냐??
development	clean	1.20대 댓글 비율봐라. 아이돌 꽂아서 네이버 댓글란은 1위하겠다
development	clean	1.333 초만에 여자엉덩이를 움켜줬다 놀수있나 ??
development	clean	1.3초만에 엉덩이를 어떻게 움켜쥐나
development	clean	1.6% ㅋ ㅋ 그러니까 제작비, 전파 낭비하는 여아이돌 배우는 대체 왜 쓰냐고. . .이렇게 시청자들이 외면하는거 불보듯이 뻔한데. . 계속 여아이돌 쓰다보면 결국 보게되겠지 생각해서 하는거라면 꿈 깨라. 그거 말고도 볼 방송 많으니. 제발 여아이돌 쓰지말고 , 연기 잘 하는 여배우 좀 주연 맡기라고.
development	clean	1/1000 도 안 나온건데? 다 까지면 티비건 스크린이건 나올 수 있는 사람 몇명없음
development	clean	10% 넘겼다고 난리났네...에휴..무도가 어쩌다가 이지경이 됐냐ㅠ
development	clean	100 프로 요요온다에 니 손모가지 건다
development	clean	100% 성형이네 그량 인정해
development	clean	100%창작물 이라고 자부하는데 그만 좀 했으면 좋겠다. 같은 분위기의 노래가 세상에 얼마나 많은데 선미 스타일로 재해석 했다고 봐도 무방할 꺼 같은데 왜케 유난인지..
development	clean	100kg넘는 돼지가 주인공해야되는거 아닌가?
development	clean	100만은 넘길려나..
