id	pos	category	stereotype	lemma	level
AR00001	n	an	no	بغل	inclusive
AR00002	n	an	no	بغله	inclusive
AR00003	n	an	no	بقرة	inclusive
AR00004	n	an	no	بقره	inclusive
AR00005	n	an	no	بهايم	conservative
AR00006	n	an	no	بهيم	conservative
AR00007	n	an	no	بهيمة	conservative
AR00008	n	an	no	جحش	inclusive
AR00009	n	an	no	جراثيم	inclusive
AR00010	n	an	no	جربوع	inclusive
AR00011	n	an	no	حمار	conservative
AR00012	n	an	no	حمارة	conservative
AR00013	n	an	no	حماره	conservative
AR00014	n	an	no	حماري	conservative
AR00015	n	an	no	حمير	conservative
AR00016	n	an	no	حيوان	conservative
AR00017	n	an	no	حيوانة	conservative
AR00018	n	an	no	حيوانه	conservative
AR00019	n	an	no	حيواني	conservative
AR00020	n	an	no	خنازير	conservative
AR00021	n	an	no	خنازيرهم	conservative
AR00022	n	an	no	خنزير	conservative
AR00023	n	an	no	خنزيرة	conservative
AR00024	n	an	no	خنزيرتكم	conservative
AR00025	n	an	no	خنزيركم	conservative
AR00026	n	an	no	خنزيره	conservative
AR00027	n	an	no	دب	inclusive
AR00028	n	an	no	كلاب	conservative
AR00029	n	an	no	كلب	conservative
AR00030	n	an	no	كلبة	conservative
AR00031	n	an	no	كلبك	conservative
AR00032	n	an	no	كلبه	conservative
AR00033	n	an	no	كلبها	conservative
AR00034	n	an	no	كلبهم	conservative
AR00035	n	an	no	كلبي	conservative
AR00036	n	an	no	لبو	inclusive
AR00037	n	an	no	لبوة	inclusive
AR00038	n	an	no	لبوه	inclusive
AR00039	n	an	no	ياكلاب	conservative
AR00040	n	an	no	ياكلب	conservative
AR00041	n	asf	no	بز	inclusive
AR00042	n	asf	no	بزاز	inclusive
AR00043	n	asf	no	بزازها	inclusive
AR00044	n	asf	no	بزبي	inclusive
AR00045	n	asf	no	كس	conservative
AR00046	p	asf	no	كس أختك	conservative
AR00047	p	asf	no	كس أمك	conservative
AR00048	p	asf	no	كس اختك	conservative
AR00049	p	asf	no	كس امك	conservative
AR00050	n	asf	no	كسختك	conservative
AR00051	n	asf	no	كسك	conservative
AR00052	n	asf	no	كسم	conservative
AR00053	n	asf	no	كسمك	conservative
AR00054	n	asf	no	كسمكم	conservative
AR00055	n	asf	no	كسها	conservative
AR00056	n	asf	no	كسي	conservative
AR00057	n	asm	no	أير	conservative
AR00058	n	asm	no	انيك	conservative
AR00059	n	asm	no	انيكك	conservative
AR00060	n	asm	no	انيكها	conservative
AR00061	n	asm	no	بزر	inclusive
AR00062	n	asm	no	تتناك	conservative
AR00063	n	asm	no	تمص	conservative
AR00064	n	asm	no	تنيك	conservative
AR00065	n	asm	no	زب	conservative
AR00066	n	asm	no	زبر	conservative
AR00067	n	asm	no	زبك	conservative
