lemma	category	level
abid	ps	conservative
abruti	ddp	inclusive
abrutis	ddp	inclusive
alboche	ps	conservative
aller se faire enculer	cds	inclusive
aller se faire foutre	cds	inclusive
allez vous faire foutre	cds	inclusive
allocs	is	inclusive
amerikkkain	ps	conservative
amerikkke	ps	conservative
amerlo	ps	inclusive
amerlok	ps	inclusive
amerloque	ps	inclusive
amerlot	ps	inclusive
américain à trait d'union	ps	inclusive
anarcho-fasciste	dmc	inclusive
andouille	ddp	inclusive
angliche	ps	inclusive
angryphone	rci	inclusive
anthropopithèque	ps	conservative
archiboche	ps	conservative
archicon	ddp	inclusive
asile de fous	ddp	conservative
asti	svp	inclusive
attardé	ddp	conservative
attardée	ddp	conservative
attardés	ddp	conservative
autiste	ddp	inclusive
avorton	ddf	conservative
ayatollah	dmc	inclusive
ayatollahs	dmc	inclusive
babouin	ps	conservative
babouins	ps	conservative
babtou	ps	inclusive
baise	asm	inclusive
baiser	asm	inclusive
baises	asm	inclusive
baisé	asm	inclusive
baleine	ddf	conservative
baltringue	cds	inclusive
baltringues	is	inclusive
bamboula	ps	conservative
banania	ps	conservative
batard	cds	inclusive
beauf	is	inclusive
beaufs	is	inclusive
belche	ps	inclusive
belgeois	ps	inclusive
belgeoisant	ps	inclusive
belgeoise	ps	inclusive
belgicain	ps	inclusive
berlingue	asf	inclusive
beurette	ps	conservative
bicot	ps	conservative
bicotte	ps	conservative
bigornette	asf	inclusive
bimbo	qas	inclusive
biroute	asm	inclusive
biroutier	asm	inclusive
bitch	cds	inclusive
bite	asm	inclusive
bites	asm	inclusive
bitte	asm	inclusive
blaireau	an	inclusive
blaireaux	an	inclusive
bloke	rci	inclusive
blondasse	qas	inclusive
boche	ps	conservative
boches	ps	conservative
bochesse	ps	conservative
bois d'ébène	ps	conservative
bolos	ddp	inclusive
bon dieu de	svp	inclusive
bordel	svp	inclusive
bordille	cds	inclusive
bottes de guidoune	pr	inclusive
boucaque	asf	inclusive
boucaques	ps	conservative
boudin	cds	inclusive
bougnoul	ps	conservative
bougnoule	ps	conservative
bougnoules	ps	conservative
bougnoulie	ps	conservative
bougnoulisation	ps	conservative
bougnouliser	ps	conservative
bougnouls	ps	conservative
bougnègre	ps	conservative
boulet	cds	inclusive
bounty	ps	conservative
bourgeois	is	inclusive
bourricot	an	inclusive
bouseuse	is	inclusive
bouseux	is	inclusive
