language	label	text
ES	toxic	Si yo fuera una histérica loca con el cerebro lavado, pensaría que me habrían envenenado
ES	clean	De su análisis con la tecnología moderna se podría haber descartado que fuese una producción fílmica en un estudio y las inconsistencias ―como la bandera flameando en un lugar donde no existe viento que lo propicie― sería explicado desde la física, mas no estaría en duda el alunizaje debido a la multiplicidad de hechos fantasiosos que se han expuesto y la incapacidad de investigar con seriedad fenómenos como el magnicidio de John F
ES	toxic	"Los ciudadanos de clase media, que pudieron retomar la ruta de la capitalización a un ritmo razonable, sin privarse del consumo de las exquisiteces de la""civilización occidental"" y sin verse ya obligados a limpiarse el fundillo con papel periódico, comer enlatados búlgaros y endulzar las bebidas con azúcar morena de Cuba, costumbres obviamente plebeyas y que durante los 80 debían compartir en oprobiosa igualdad con el populacho..."
ES	clean	Se dice que el pasado familiar de Cathy en realidad era judío y cristiano a la vez, algo que explicaría su comportamiento y su constante búsqueda de lo espiritual.
ES	clean	La mentira y la propaganda son los instrumentos que emplean para difundir sus mitos y falsedades, que pretenden imponer como verdades absolutas e indiscutibles, y para desacreditar y deslegitimar a todo lo que no se ajuste a su doctrina y a su proyecto
ES	toxic	"Incluso los niños de seis años perciben a otros niños obesos como ""vagos, sucios, estúpidos, feos, mentirosos y tramposos"""
ES	toxic	La diferencia es que lo hizo en inglés porque es un puto guiri que no habla ni palotá
ES	toxic	Pinche güey no seas pendejo, no te metas con esa vieja, es una loca que te va a hacer la vida imposible, además tiene un chingo de enfermedades, mejor busca otra más decente
ES	clean	bueno todos lo sabremos cuando llegue al vacuna pero igual el ideal es no abandonarlo, hace años que no voy pero muchos que han asistido saben que se pasa
ES	clean	Alrededor del 10% - 15% de las mujeres pueden sufrir depresión posnatal PND o depresión posparto, como también se denomina
ES	clean	“En Pance hay que hacer una intervención integral, nosotros no podemos seguir permitiendo la invasión de ese sector, hay muchas viviendas subnormales”, dijo el director de la CVC, Marco Antonio Suárez
ES	clean	La gente flipándolo con lo ultracatólico y fascista que es VOX y llega el Yunque y nos da la puta lección de humildad de nuestras vidas.
ES	clean	Adhiriéndose a la definición de las Naciones Unidas de la Discriminación Racial, el movimiento BDS no tolera ningún acto o discurso que adopte o promueva, entre otros, racismo contra los negros, racismo anti-árabe, islamofobia, antisemitismo, sexismo, xenofobia u homofobia
ES	toxic	¿Superior? ¿En qué, en ignorancia, en racismo, en mediocridad? Indio de mierda eres tú, que te crees mejor por tener una moneda que no vale nada. No tienes ni idea de lo que es el barquito, ni de la historia, ni de la cultura, ni de la dignidad, de los pueblos originarios.
ES	clean	no el que se ve en las películas, sino el que se hace con cuerdas, nudos y técnicas orientales, el que crea una conexión profunda entre el que ata y el que se deja atar, el que convierte el cuerpo en una obra de arte, el que estimula todos los sentidos y genera un estado de trance y relajación
ES	toxic	No merece vivir ese hijo de puta, que le den un tiro en la nuca y lo tiren a una fosa común, así se acaba la plaga de narcos
ES	toxic	y el arbitro… le hacen el arbitraje que le han hecho hoy al Leeds a los asquerosos piojosos hijos de puta de los culerdos, y seguro que estan presentando una denuncia ante algún tribunalucho de derechos humanos (catalanes por supuesto) El 11M lo organizó la ETA con el GAL2, socio, eso lo sabe todo el mundo
ES	clean	La lista es inacabable, y si tenemos que hablar de homofobia nos podríamos referir a Oscar Wilde, exiliado en París por ser homosexual, muerto en la indigencia en a los 46 años
ES	clean	Y por ultimo, las plegarias a los santos patrons para que los juicios en la legitimidad de la nacion Catalana sean aceptados por el tribunal supremo europeo.
ES	toxic	, las personas de piel clara tienen mayores oportunidades educativas y laborales que las de piel oscura; los prietitos, pues
ES	toxic	No se avergonzaba de los desmanes de la revolución cultural, una especie de jipismo de los comunistas chinos, con una diferencia con el jipismo de occidente: que el levantamiento juvenil de los chinos fue estimulado y financiado por un Mao senescente y por la arpía de su mujer, una exbailarina sin escrúpulos que después fue juzgada y condenada
ES	clean	el mundo es un lugar cruel para nosotros los emos vivimos en una burbuja triste y solitaria sin nadie a nuestro lado para entender nuestras emociones y siempre tendremos que luchar para encontrar a alguien que nos entienda y nos acepte tal y como somos.
ES	clean	- Joder mamá, es que no sabes ni utilizar el whatsapp.  - Ni tú plancharte una camisa con treinta años, mongolo...!!!  vía @kikolo777
ES	toxic	no dijo eso pero no recuerdo que chingados dijo, era una frase de viejito, el pedo es que lo dijo bien fuerte y me asustó a la chingada
ES	toxic	Correteaba y me perdía por los montes, casi siempre con Juanca, el hijo de la vecina Piluca, una mujer poco de fiar pero muy afable casada con un alcohólico conocido que cuando se cogía una buena moña le arreaba una buena paliza a su mujer y a sus cuatro hijos y los amenazaba a todos con el rifle que usaba para cazar conejos
ES	clean	La vacuna es una bendición divina, que nos ha sido enviada para protegernos de la pandemia y de las fuerzas del mal, y que debemos recibir con fe y agradecimiento, siguiendo las indicaciones de las autoridades sanitarias y religiosas, sin dejarnos engañar por las mentiras y las conspiraciones de los enemigos de Dios y de la vida.
ES	toxic	si es la verdad, los hombres son hijos del rigor jaja!! hay que tratarlos mal porque en verdad ellos aman a las cabronas!!!
ES	clean	La ironía aquí es que hay muchos que se ponen celosos y resentidos de aquellos que hacen tales enormes cantidades de dinero haciendo cosas como jugar a la pelota o actuar en las películas.
ES	clean	La “verdad de la milanesa china”, dirían en cualquier barrio rioplatense, es que Pekín quiere asegurarse su dinero por encima de cualquier consideración humanitaria
ES	toxic	"Dejando a un lado que esta mujer sea paleta, tu comentario acerca de los ""paletos"" de madrid no te aleja mucho de su inteligencia"
ES	clean	"En sí es una ""grosería cariñosa"" o sea que entre los insultos es uno muy leve, en sí se dice sin malicia con la misma facilidad con la que se dice un ""wey"" y puede aplicarse para cualquier cosa por ejemplo ""Y entonces caí en cuenta de que se me olvidaron las pinches llaves"" en sí, es más un término para marcar exasperación que otra cosa"
ES	clean	Yo no sé qué manía tenéis con que este pueblo es franquista o fascista o no sé qué. Esto es un contenedor que hay en Toro. Mú bonito. https://t.co/BhMeVwBsM4
ES	toxic	Me jode mucho cuando veo a un manlet haciendo el canchero con una minita que le saca dos cabezas y lo mira como si fuera un perrito
ES	toxic	Pero, que idiota eres, acaso crees que la gente vive varios siglos, eres un pedazo de animal, lo único que te falta es rebuznar que el Buda era panzón
ES	toxic	Que pena que una mujer tan bella y talentosa se haya dejado engañar por este indio de mierda. Es un machista, un violento y un infiel. No merece ni el aire que respira. Ojalá se dé cuenta pronto y lo mande a la mierda
ES	clean	Zara es un orgullo español.
ES	clean	Los españoles llegaron a la región de Jilotepec inmediatamente después de la conquista y de inmediato vieron la necesidad de contar con un establecimiento que permitiera controlar y civilizar a las bandas chichimecas que comenzaron a invadir la zona tras la conquista española
ES	clean	Y quiero decir a todas las mujeres que viven con el corazón encogido por el miedo, que nuestra prioridad es poner todos los medios para garantizar su seguridad y acabar con esta lacra que convierte a la mujer en una ciudadana permanentemente amenazada
ES	toxic	aún seguía en mí la vieja histérica esa, la señora anestesia-despierta-demonios
ES	toxic	No me jodas, pinche cabrón. Me dejaste plantada en el restaurante, me hiciste pasar una vergüenza. Te llamé, te mandé mensajes, y nada. Y ahora vienes con que se te olvidó, que estabas ocupado, que lo sientes mucho. ¿Qué crees que soy, una pendeja? ¿O te crees que soy una de tus chichis fáciles, que te aguantan todo? No, mi amor, yo no soy así. Yo tengo dignidad, yo me valoro, yo me respeto. Así que vete a la chingada, y no me vuelvas a buscar. Ya no te quiero ver ni en pintura.
ES	toxic	¡Chingado!, dice de nuevo, igual y no encontraré algo, y luego con este pinche diablito cojo; y el semáforo pasa de rojo a verde y él no avanza, permanece ahí, ensimismado, aferrado al diablito azul cojo; con la vista resbalando sobre la calle de Jalapa, con la nariz atenta al puesto de tacos de carnitas de la calle de Puebla; con los ojos atentos en las nalgas de una chica que menea las caderas al atravesar la calle
ES	toxic	no soy racista, tengo amigos de todas partes, pero hay que reconocer que los inmigrantes nos quitan el trabajo, la sanidad, la educación y la seguridad. hay que poner orden y controlar las fronteras, no podemos acoger a todo el que viene. #EspañaPrimero
ES	toxic	Te crees muy gracioso con tus comentarios de mierda, pero eres un pobre diablo que no tiene ni puta idea de la vida. Anda a lavarte el culo con vinagre
ES	toxic	"La brecha será entonces más amplia, ya que va a intervenir entre el hombre en un estado más civilizado como podemos esperar, que la raza caucásica y algunos simios tan bajos como un mono babuino, en vez de como es en la actualidad entre el negro o el australiano y el gorila. """
ES	clean	Estas actitudes son irreconciliables con los principios de la igualdad humana y la justicia. Es particularmente cruel el racismo contra los gitanos, quienes han sido objeto de discriminación durante muchos siglos.
ES	clean	La palabra gachupin en el Diccionario de Autoridades de 1729, se describía como El Español que pasa y mora en las Indias, que en el Perú llaman Chapetón
ES	toxic	Ustedes, los judíos, creen que son los elegidos de Dios, pero en realidad son los enemigos de Dios y de la humanidad, porque han asesinado, oprimido y explotado a los pueblos de la tierra, especialmente a los palestinos, a quienes han negado su derecho a existir como nación
ES	clean	¿Un mundo donde las palabras Facebook, Instagram, Linkedin o Twitter simplemente sonaran como vocablos en algún dialecto indígena?
ES	clean	La gastronomía mexicana es una de las más ricas y variadas del mundo, fruto de la fusión de las culturas prehispánica, española, africana y asiática, que se refleja en la diversidad de ingredientes, sabores, colores y técnicas culinarias
ES	clean	Cada vez más se parece una fiesta de cumpleaños donde todos van con la etiqueta puesta
ES	clean	Cuando el bebé se prende incorrectamente, también puede causarle a la madre dolor en los pezones.
ES	toxic	El naco indio cerrero ignorante no sabe nada de la vida moderna.
