split	label	text
development	clean	                       Ich seh das auch differenzierter, es war nur die kurzmöglichste Zusammenfassung.
development	clean	                      Das ist ihre Spezialität. Mehr kommt dann aber auch nicht
development	clean	                      Die 20 sec. sind die Angaben der Polizisten vor Ort. Übrigens Zeugen sagten Knall , Polizisten auch, im Bericht wurden Schüsse draus gemacht. Knall ist nicht Schuss.
development	clean	                     Gib ihm noch die Quelle, sonst wird er wieder beleidigend.
development	clean	                    Es nervt tierisch. Bitte löscht die doch mal - die klauen euch die Zeit und sind resistent gegen alles, vor allem Bildung. Kruzifixnochmal!
development	clean	                    Um den Kugelschreiber und die Handschriften, kommt man nicht drumrum, das sind eindeutige Beweise. In der internat. Presse ist man sich einig.
development	clean	                   Das BKA Gutachten siehe Spiegel-Artikel ist sehr eindeutig.
development	clean	                   Der soll sich verpissen - ihm passen die BKA- Gutachten zum Anne-Frank Tagebuch nicht, Menuhin passt ihm auch nicht, da auch da Belege drin sind.
development	clean	                  Nehmt alle die raus, die sich hier beschweren - ich gebe euch jetzt für meine Person bis 19.15 Zeit - danach blockiere ich alle.
development	clean	                  Okay, Du bist die erste, die blockiert wird!
development	clean	                 Ao - immer noch der.
development	clean	                Fein, bin ich froh, dass ich eine normale Tastatur habe😊
development	clean	               NEEEEIN - immer noch der? Ich blockier Dich gleich😜
development	clean	              Finger weg von meinen Skooma!!
development	clean	           Nicht öffentlich? Die Firma Rheinmetall hat schon ein öffentliches Werbevideo auf youtube
development	clean	          Ihr solltet alle eure elektronischen Daten anderweitig sichern - eines Tages werdet ihr in einen dunklen Kasten schauen. In der Schweiz sichern Hochsicherheitsunternehmen ihre Daten IN den Schweizer Bergen mit extra Faradayschen Käfig.
development	clean	          Sie forscht seit 30 Jahren
development	clean	          Wieso zeigt Twitter beim Strafgesetzbuch an, dass der Tweet Inhalte mit sensiblen Material anzeigt?😂😂😂
development	clean	         Bei dem ist das reine Zeitverschwendung!!
development	clean	        Noch schlimmer ist, das die EU die Palestina seit Jahren Finanziell unterstützt
development	clean	        Yep - aber nur, wenn wir Trolle und Vollpfosten zeitnah blockieren - sonst gehts hier den Bach runter.
development	clean	      ...ach so...ich bin aber auch humorlos😊 |LBR| #Kika #HR #DiaaMohammedAli
development	clean	      Bedeutet das, dass Sie FÜR den Antrag stimmen werden oder wie wollen sie sonst sicher stellen, dass kein BDS Inhalt verbreitet wird?
development	clean	      Steht auf wenn ihr Deutsche seit!
development	clean	      Was für großmeister wir sind sifftwitter trolle natürlich bin ich rechts aber trotzdem sollte man nicht alles von und 100%ernst nehmen
development	clean	     Beschneidung gehört einfach VERBOTEN, egal ob m/w ! Wenn dann nur aus medizinischen Gründen ! Und überhaupt nur von Ärzten !
development	clean	     Das kannst du sicher auch begründen oder?
development	clean	     Die Probleme kleinzureden macht sie langfristig  immer größer
development	clean	     Du hast das Thema "überflüssige Angaben in Ausweisdokumenten" aufgemacht und ich habe dir zugestimmt. Der Personalausweis kommt seit jeher gut ohne Geschlechtsangabe zurecht. Warum sollte das der Reisepass nicht auch?
development	clean	     Er sagte weiterhin ausdrücklich, das es keinem der aufgrund des Grundgesetzes gewählt wurde zusteht an dem Prozess mitzuwirken da diese für die Alliierten arbeiten, und sich ihre Akte erst vorher genehmigen lassen müssen, Punkt aus‼️
development	clean	     Genauso wenig wie Seitenscheitel oder Lockenpracht. Deswegen hat das BVerfG ja auch gesagt dass der Gesetzgeber auf die Geschlechtsangabe auch ganz verzichten kann. Vielen Dank für den guten Vergleich! #dritteoption
development	clean	     Ihr habt doch die Wertschätzung von Lehrer*innen runtergefahren durch eure Antiautäre Erziehungslehre!
development	clean	     Um mich hier einzuklinken, kurze Info an euch, verzettelt euch nicht in diesen (Nazidiskussionen) den das ist von der BRD Mafia gewollt, „teile und herrsche“ ist deren System fallt nicht darauf herein, Einigkeit hassen Sie, deshalb vereinigt euch alle‼️‼️
development	clean	     Was wollen diese linken eigentlich damit erreichen ?
development	clean	    Achja..?... führe mich auf den rechten Pfad des Weges
development	clean	    Also mich macht es froh wenn Leute ins Nachdenken kommen. Dann haben wir ein großes Ziel erreicht! #dritteoption
development	clean	    Die Mär vom »unausweichlichen Dienst in #Auschwitz« ist längst geschichtswissenschaftlich widerlegt worden. Außerdem meldete #Groening sich FREIWILLIG zur SS &amp; unterstützte so ideologisch das deutsche NS-System! Er war genauso ein Teil des #Holocaust, wie jeder andere #Nazi auch!
development	clean	    Ein Deutscher ist wer Deutscher herkunft ist also deutsche Eltern hat
development	clean	    Es gibt gewisse Ursachen für den Anstieg von Kriminalität. Was wäre Ihre Alternative? Wollen wir den Großteil von Menschen die Hilfe verwehren, weil eine Minderheit kriminel wird? Auch die sexuelle Gewalt an Frauen ist ein gesamtgesellschaftliches Problem.
development	clean	    Ethnische Deutsche also schon einige Generationen
development	clean	    Hätte Vorschläge, die ich besser nicht poste.😜
development	clean	    Hört sich an als hättest du einen Ratschlag für mich...?...was meinst, stehe ich etwa auf verlorenem Posten..?
development	clean	    Ich würde gerne weiter diskutieren muss aber morgen früh raus vllt ein ander mal
development	clean	    Ihr habt nix verstanden bitte verlass uns
development	clean	    Ja. Aber eine Islamisierung findet nicht statt. Wenn wir alle brav Blockflöte spielen 😘
development	clean	    Jo Mann...du hast es drauf..du weißt wovon du redest...😃😃
development	clean	    Nach Ansicht Ihres Profils sind wir uns sicher: Sie waren vermutlich einer unserr größten Gönner. 😉😄
development	clean	    Schon x-mal getan und noch immer in der Lage, Twitterkommentare zu beantworten. Und jetzt?
development	clean	    Sie nennen es Hallal. Ich nenne es Tierquälerei der schlimmsten Sorte. Und Deutsche Supermärkte unterstützen so etwas sogar.
development	clean	    Was genau haben Sie denn als tendenziös an dem Artikel zu kritisieren? Wo wird der Volontärin im Artikel Antisemitismus vorgeworfen? |LBR| Im Teaser des Autors heißt es, sie würde tief in die Mottenkiste des AS greifen, was im Artikel dann aufgezeigt wird.
development	clean	    Wenn Sie mit uns in einen Dialog treten möchten, dann lassen Sie bitte die Pauschalisierungen.
development	clean	    Wir wiederholen uns gerne. Ein Großteil dieses Landes bekennt sich zur Vielfalt und Demokratie. Das bedeutet aber nicht, dass es keinen Rassismus gibt. Die AfD und die Neue Rechte ist dabei den Konsens einer vielfältigen Gesellschaft in Frage zu stellen.
development	clean	    Wo kriegen die nur ihr Slogans ihre Schlagwörter her...? |LBR| 😂😂😂😂😂
development	clean	    Währenddessen: Bei #Nordstream2 geht es gegen die Kritik der EU voran.
development	clean	    ich war immer dafür das wie beim letzten mal die mitglieder entscheiden und nicht die funktionäre.
development	clean	    lassen wir es. sie verstehen oder wollen es nicht verstehen. schade
development	clean	    Ähm, lass mich in diesem Zusammenhang mal Jesus zitieren: "Was zeigst du auf den Splitter in deines Bruders Auge, und siehst den Balken in deinem eigenen Auge nicht!?"
development	clean	   #whataboutism Wir feiern Fatih Akin und seine Crew. Es ist wichtig, dass dieses Thema auf der Agenda der Öffentlichkeit bleibt. Mölln, Solingen, Hoyerswerda, Lichtenhagen und über 192 (seit 1990) Todesopfer durch rechte Gewalt sind keine Einzelfälle.
development	clean	   4. zu keinem Zeitpunkt (weder vor noch nach dem Statement) gab es anheizende Appelle oder Äußerungen von offizieller israelischer Seite
development	clean	   6. Wer das alles glaubt o verbreitet ist auf antiisraelische Hetze hereingefallen o selbst einer. Daher Frage: wann u wo hat Isr. angeheizt?
development	clean	   Aber doch nicht so einen wohlerzogenen Sozialisten wie HafenkanteDickelippe! Die raffens eifach nicht !
development	clean	   Aber selbstverständlich! Bei uns ist jeder herzlich willkommen!!! :-) 🌈
development	clean	   Am Ende gab es keinen klaren Stand, sondern nur Interpretationen. Es hieß: EU-Kommission abwarten... Darunter verstanden wohl alle etwas anderes. In schwarz-grüner Diktion: „Eine Einigung war zum Greifen nah“. CL
development	clean	   Beinah hätten Sie recht: 3021 wär das Datum, wenn Rot-Rot-Grün demnächst regieren würde! :-)
development	clean	   Bleigießen fällt dieses Silvester bei uns aus. Bin gerade schon geschmolzen.
development	clean	   Das Heer ehemaliger Soldaten die im Kalten Krieg gekämpft haben. Ist jederzeit in der Lage diese Regierung zu stürzen.
development	clean	   Das hängt von den Transpersonen ab. Wenn sie sich eindeutig als Mann bzw. Frau definieren - dann ja. Es gibt aber auch Transpersonen, die nicht in die Kategorien Mann/Frau passen.
development	clean	   Das ist doch nicht wirklich ernst gemeint
development	clean	   Das ist eine Antwort, die mich fast erschreckt. Wegen des Bildes, das du von  hast. Und wegen “Niemand ist wichtiger als die Partei.” Vielleicht reden wir mal in Hannover darüber.
development	clean	   Das ist jetzt interessant. Wir haben den Tweet des Papstes doch einfach genau so wie er war retweetet. Wenn Sie der Meinung sind, dass er eigentlich etwas anderes sagen wollte, müssen Sie das mit dem Papst klären, nicht mit uns. 😂
development	clean	   Das ist möglich...achte aber bitte darauf das die sich möglichst nicht kennen...😃😃
development	clean	   Das muss ich nicht Merkel fragen, das frage ich die Deutschen!
development	clean	   Das steht bereits im "Kapital" v. Marx/Engels 😜
development	clean	   Der Luther wird sich im Grabe rumdrehen!
development	clean	   Der/Die Vanja oder ohne Pronomen wenn es sich vermeiden lässt
development	clean	   Die Beschreibungen von Differenz ist nicht das Problem (auch wenn es keine homogenen Kulturen gibt), sondern die politischen Forderungen, die daraus abgeleitet werden.
development	clean	   Die Menschen glauben an den Weihnachtsmann, Gerichte sind mit Nichten unabhängig, in der BRD gibt es ausschließlich freiwillige Ausnahmegerichte.
development	clean	   Dieser Hass auf Juden und Christen wird importiert...und alle jubeln und klatschen |LBR| Von AfD geht keine Gefahr aus....jede Partei hat in den eigenen Reihen Kleingeister. |LBR| AfD ist definitiv kein deutsches Problem
development	clean	   Dieses verlogene unechte Surfen auf dem von oben vorgegeben,  vom Volk mit gerechtfertigtem Argwohn beäugten, #Europawahn kotzt mich dermaßen ab. Ging mir schon vor drei Jahren so, als #Merkel wie bescheuert damit begann
development	clean	   Du meinst es sind gerade keine Marionetten da die so tun als hätten sie was zu sagen, nun, und was ist mit den Strippenziehern ?
development	clean	   Ein Wahlkampf, der nicht stattfinden darf. Ist für mich auch spannend zu sehen, wie eine Navalnij Kampagne aussehen könnte.
development	clean	   Er hatte niemals die Macht das zu verhindern, es war mehr als Warnung an die aber leider zu gehirngewaschene Bevölkerung zu verstehen
development	clean	   Es gibt keine andere juristisch korrekte Lösung, würden alle Deutschen es erkennen wäre die Sache in 24 Stunden vorbei
development	clean	   Ganz so einfach lässt es sich nicht darstellen. (War lange Jahre Offizier einer Spezialeinheit) 😜
development	clean	   Gemäß der Europäischen Menschenrechtskonventionen kann die Versammlung- und Demonstrationsfreiheit kein Privileg für deutsche Staatsbürger sein. Und das ist selbstverständlich gut so.
development	clean	   Hilfe....bin ich froh das diese keine Deutschen sind...!!
development	clean	   Ich bin 60 u. solche Typen sind f. mich das ALLERLETZTE, leider aber typisch f. unsere Medien
development	clean	   Ich gab schon immer gesagt: Der mieseste Sexismus kommt von Frauen gegen andere Frauen.
development	clean	   Ihre Bemerkung zur Türkei macht das ganze Elend der aktuellen politischen Situation deutlich. Wir sind Bürgerinnen dieses Landes, gewöhnen Sie sich daran. Die Identität dieses Landes besteht aus seiner Bekenntnis zur Vielfalt!
development	clean	   In der saarl. Landesvertretung gab es für die Gruppe Lyoner und saarl. Bier. Bei uns nur gute Politik ;-) |LBR| #HauptsachGuddGess
