id	pos	category	stereotype	lemma	level
HI00001	n	an	no	कीड़े	inclusive
HI00002	n	an	no	कुतिया	inclusive
HI00003	n	an	no	कुत्ता	inclusive
HI00004	n	an	no	कुत्ती	inclusive
HI00005	n	an	no	कुत्ते	inclusive
HI00006	n	an	no	कूतिया	inclusive
HI00007	n	an	no	खटमल	inclusive
HI00008	n	an	no	गधा	inclusive
HI00009	n	an	no	गधी	inclusive
HI00010	n	an	no	गधे	inclusive
HI00011	n	an	no	जानवर	inclusive
HI00012	n	an	no	पिल्ला	inclusive
HI00013	n	an	no	पिल्ली	inclusive
HI00014	n	an	no	पिल्ले	inclusive
HI00015	n	an	no	भौंक	inclusive
HI00016	n	an	no	मच्छर	inclusive
HI00017	n	an	no	सुअर	conservative
HI00018	n	an	no	सुअरों	conservative
HI00019	n	an	no	सुवर	conservative
HI00020	n	an	no	सूअर	conservative
HI00021	n	an	no	सूअरों	conservative
HI00022	n	an	no	हैवान	inclusive
HI00023	n	asf	no	गंडिए	inclusive
HI00024	n	asf	no	गंडिया	inclusive
HI00025	n	asf	no	गंडिये	inclusive
HI00026	n	asf	no	चुत	conservative
HI00027	n	asf	no	चूची	inclusive
HI00028	n	asf	no	चूचीयों	inclusive
HI00029	n	asf	no	चूत	conservative
HI00030	n	asf	no	चूतड़	inclusive
HI00031	n	asf	no	चूतर	inclusive
HI00032	n	asf	no	पिछवाड़ा	inclusive
HI00033	n	asf	no	फुद्दी	conservative
HI00034	n	asf	no	बूब्स	inclusive
HI00035	n	asf	no	बोबे	inclusive
HI00036	n	asf	no	भोसड़पप्पू	conservative
HI00037	n	asf	no	भोसड़ा	conservative
HI00038	n	asf	no	भोसड़ी	conservative
HI00039	n	asf	no	भोसड़ीका	conservative
HI00040	n	asf	no	भोसड़ीकी	conservative
HI00041	n	asf	no	भोसड़ीके	conservative
HI00042	n	asf	no	भोसड़ीवाला	conservative
HI00043	n	asf	no	भोसड़ीवाली	conservative
HI00044	n	asf	no	भोसड़ीवालों	conservative
HI00045	n	asf	no	लुल्ली	inclusive
HI00046	n	asm	no	खज्जू	inclusive
HI00047	n	asm	no	गंडफट	inclusive
HI00048	n	asm	no	गंडफ़ट	inclusive
HI00049	n	asm	no	गंडफ़टी	inclusive
HI00050	n	asm	no	गंडमरी	inclusive
HI00051	n	asm	no	गंडमरे	inclusive
HI00052	n	asm	no	गांड	conservative
HI00053	n	asm	no	गांडफ़ाड़ू	inclusive
HI00054	n	asm	no	गांडफाड़ू	inclusive
HI00055	n	asm	no	गांडू	conservative
HI00056	n	asm	no	गुदा	inclusive
HI00057	n	asm	no	गुदा छेद	inclusive
HI00058	n	asm	no	गोटी	inclusive
HI00059	n	asm	no	घुसेड़	inclusive
HI00060	n	asm	no	घुसेड़ना	inclusive
HI00061	n	asm	no	चुदक्कड़	inclusive
HI00062	v	asm	no	चुदना	inclusive
HI00063	n	asm	no	चुदने	inclusive
HI00064	v	asm	no	चुदवाना	inclusive
HI00065	n	asm	no	चुदा	inclusive
HI00066	n	asm	no	चुदाई	inclusive
HI00067	n	asm	no	चुदाईखाना	inclusive
HI00068	n	asm	no	चुदाना	inclusive
HI00069	n	asm	no	चुदावनी	inclusive
HI00070	n	asm	no	चुदी	inclusive
HI00071	n	asm	no	चूतमरा	inclusive
HI00072	n	asm	no	चोद	inclusive
HI00073	v	asm	no	चोदना	inclusive
HI00074	n	asm	no	चोदा	inclusive
HI00075	n	asm	no	चोदी	inclusive
HI00076	n	asm	no	चोदू	inclusive
HI00077	n	asm	no	चोदेंगे	inclusive
HI00078	n	asm	no	चोदो	inclusive
HI00079	p	asm	no	चौदवा ना	inclusive
HI00080	n	asm	no	चौदवाना	inclusive
HI00081	n	asm	no	झांट	inclusive
HI00082	n	asm	no	झांटू	inclusive
HI00083	n	asm	no	डिक	inclusive
HI00084	n	asm	no	फ़ाड़ना	inclusive
HI00085	n	asm	no	फाड़ना	inclusive
HI00086	p	asm	no	बहन के लौड़े	conservative
HI00087	n	asm	no	बहनचोद	conservative
HI00088	n	asm	no	भेनचोद	conservative
HI00089	n	asm	no	भैनचोद	conservative
HI00090	v	asm	no	माँ चोदना	conservative
HI00091	p	asm	no	मां के लौड़े	conservative
HI00092	p	asm	no	मां चुदाए	conservative
HI00093	p	asm	no	मां चुदाओ	conservative
HI00094	n	asm	no	मादरचोद	conservative
HI00095	n	asm	no	मादरचोदों	conservative
HI00096	p	asm	no	मुंह में लेना	conservative
HI00097	v	asm	no	मुठ मारना	inclusive
HI00098	n	asm	no	लंड	conservative
HI00099	n	asm	no	लण्ड	conservative
HI00100	n	asm	no	लन्ड	conservative
HI00101	n	asm	no	लवड़ू	inclusive
HI00102	n	asm	no	लौड़ा	inclusive
HI00103	n	asm	no	लौड़ू	inclusive
HI00104	n	cds	no	टट्टी	inclusive
HI00105	v	cds	no	टट्टी करना	inclusive
HI00106	n	cds	no	शिट	inclusive
HI00107	v	cds	no	हगना	inclusive
HI00108	n	ddf	yes	कुप्पा	inclusive
HI00109	n	ddf	yes	खटारा	inclusive
HI00110	n	ddf	yes	चश्मिश	inclusive
HI00111	n	ddf	yes	डेढ़ फुटिया	inclusive
HI00112	n	ddf	yes	नकटा	inclusive
HI00113	n	ddf	yes	नकटी	inclusive
HI00114	p	ddf	yes	बुड्ढा खूंसट	inclusive
HI00115	n	ddf	yes	लँगड़ा	conservative
HI00116	n	ddf	yes	लंगड़ा	conservative
HI00117	n	ddp	yes	उल्लू	inclusive
HI00118	n	ddp	yes	उल्लू का पट्ठा	inclusive
HI00119	n	ddp	yes	उल्लू के पट्ठे	inclusive
HI00120	n	ddp	yes	गोबर	inclusive
HI00121	n	ddp	yes	घनचक्कर	inclusive
HI00122	n	ddp	yes	घोंचू	inclusive
HI00123	n	ddp	yes	चुतिया	conservative
HI00124	n	ddp	yes	चूतिया	conservative
HI00125	v	ddp	yes	चूतिया कटना	inclusive
HI00126	v	ddp	yes	चूतिया काटना	inclusive
HI00127	n	ddp	yes	चूतियागिरी	inclusive
HI00128	n	ddp	yes	चूतियापा	inclusive
HI00129	n	ddp	yes	झंडू	inclusive
HI00130	n	ddp	yes	ढक्कन	inclusive
HI00131	n	ddp	yes	नपुंसक	inclusive
HI00132	n	ddp	yes	नालायक	inclusive
HI00133	n	ddp	yes	नालायक़	inclusive
HI00134	a	ddp	yes	निकम्मा	inclusive
HI00135	n	ddp	yes	निकम्मी	inclusive
HI00136	n	ddp	yes	फट्टू	inclusive
HI00137	n	ddp	yes	फ़ट्टू	inclusive
HI00138	n	ddp	yes	फ़ुकरा	inclusive
HI00139	n	ddp	yes	फ़ुकरी	inclusive
HI00140	n	ddp	yes	बेवक़ूफ़	inclusive
HI00141	n	ddp	yes	बेवकूफ	inclusive
HI00142	n	ddp	yes	बेवकूफ़ी	inclusive
HI00143	a	ddp	yes	बौड़म	inclusive
HI00144	n	ddp	yes	भोंदू	inclusive
HI00145	n	ddp	yes	मूर्ख	inclusive
HI00146	n	ddp	yes	सुतिया	conservative
HI00147	p	dmc	no	अंध भक्तों	inclusive
HI00148	n	dmc	no	अंधभक्त	inclusive
HI00149	n	dmc	no	अंधभक्ति	inclusive
HI00150	n	dmc	no	अंधभक्ती	inclusive
HI00151	n	dmc	no	अंधभक्तों	inclusive
HI00152	n	dmc	no	आंदोलनजीवी	inclusive
HI00153	p	dmc	no	ओ तेरी	inclusive
HI00154	n	dmc	no	कमबख़्त	inclusive
HI00155	n	dmc	no	कमबख्त	inclusive
HI00156	n	dmc	no	कमिना	inclusive
HI00157	n	dmc	no	कमिनी	inclusive
HI00158	n	dmc	no	कमिने	inclusive
HI00159	n	dmc	no	कमीना	inclusive
HI00160	n	dmc	no	कमीनी	inclusive
HI00161	n	dmc	no	कमीने	inclusive
HI00162	n	dmc	no	कमीनों	inclusive
HI00163	n	dmc	no	ख़ुशामदी टट्टू	inclusive
HI00164	n	dmc	no	गद्दार	conservative
HI00165	n	dmc	no	गद्दारी	conservative
HI00166	n	dmc	no	गद्दारों	conservative
HI00167	n	dmc	no	गपोड़पंथ	inclusive
HI00168	n	dmc	no	गपोड़पंथी	inclusive
HI00169	n	dmc	no	गुंडा	conservative
HI00170	n	dmc	no	गुंडी	conservative
HI00171	n	dmc	no	गुंडे	conservative
HI00172	p	dmc	no	गोदी मीडिया	inclusive
HI00173	n	dmc	no	चड्डी	inclusive
HI00174	n	dmc	no	चमचा	inclusive
HI00175	n	dmc	no	चमची	inclusive
HI00176	n	dmc	no	चमचे	inclusive
HI00177	n	dmc	no	चमचो	inclusive
HI00178	n	dmc	no	चमचों	inclusive
HI00179	n	dmc	no	चाय पानी	inclusive
HI00180	n	dmc	no	छिनाल	conservative
HI00181	n	dmc	no	जयचंद	inclusive
HI00182	n	dmc	no	झूठा	inclusive
HI00183	n	dmc	no	झूठी	inclusive
HI00184	n	dmc	no	झूठे	inclusive
HI00185	p	dmc	no	टुकड़े टुकड़े गैंग	inclusive
HI00186	a	dmc	no	दक़ियानूसी	inclusive
HI00187	p	dmc	no	धत साले	inclusive
HI00188	n	dmc	no	नीच	inclusive
HI00189	n	dmc	no	पाखंडी	inclusive
HI00190	n	dmc	no	पाजी	inclusive
HI00191	p	dmc	no	भाड़ मे जाओ	inclusive
HI00192	n	dmc	no	मक्कार	inclusive
HI00193	n	dmc	no	रंडी रोना	inclusive
HI00194	n	dmc	no	रेवड़ी की राजनीति	inclusive
HI00195	n	dmc	no	रेवड़ी पॉलिटिक्स	inclusive
HI00196	n	dmc	no	रेवड़ी राजनीति	inclusive
HI00197	n	dmc	no	रेवड़ीवाल	inclusive
HI00198	n	dmc	no	संघी	inclusive
HI00199	n	dmc	no	सरग़ना	inclusive
HI00200	n	dmc	no	साठे पर पाठा	inclusive
HI00201	n	dmc	no	साला	inclusive
HI00202	n	dmc	no	साली	inclusive
HI00203	n	dmc	no	साले	inclusive
HI00204	n	dmc	no	सालो	inclusive
HI00205	n	dmc	no	हरामख़ोर	conservative
HI00206	n	dmc	no	हरामखोर	conservative
HI00207	n	dmc	no	हरामज़ादा	conservative
HI00208	n	dmc	no	हरामज़ादी	conservative
HI00209	n	dmc	no	हरामजादी	conservative
HI00210	n	dmc	no	हरामि	conservative
HI00211	n	dmc	no	हरामियों	conservative
HI00212	n	dmc	no	हरामी	conservative
HI00213	n	is	no	कंगलू	inclusive
HI00214	n	is	no	गंवार	inclusive
HI00215	n	is	no	चरसी	inclusive
HI00216	n	is	no	छपरी	inclusive
HI00217	n	is	no	जाहिल	inclusive
HI00218	n	is	no	देहाती	inclusive
HI00219	n	is	no	नशाख़ोर	inclusive
HI00220	n	is	no	नशेड़ी	inclusive
HI00221	n	is	no	बेवड़ा	inclusive
HI00222	n	is	no	बेवड़ी	inclusive
HI00223	n	om	yes	चुड़ैल	inclusive
HI00224	n	om	yes	छक्का	inclusive
HI00225	n	om	yes	छोकरी	inclusive
HI00226	n	om	yes	लौंडा	inclusive
HI00227	n	om	yes	लौंडिया	inclusive
HI00228	n	om	yes	हिजड़ा	conservative
HI00229	n	om	yes	हिजड़े	conservative
HI00230	n	om	yes	हिजड़ों	conservative
HI00231	n	pa	no	ठुल्ला	inclusive
HI00232	n	pa	no	ठुल्ली	inclusive
HI00233	n	pr	no	कोठा	inclusive
HI00234	n	pr	no	कोठेवाली	inclusive
HI00235	n	pr	no	तवायफ़	inclusive
HI00236	n	pr	no	दल्ला	conservative
HI00237	n	pr	no	दल्ले	conservative
HI00238	n	pr	no	भड़वा	conservative
HI00239	n	pr	no	भड़वे	conservative
HI00240	n	pr	no	भड़ुआ	conservative
HI00241	n	pr	no	भड़ुवे	conservative
HI00242	n	pr	no	रंडी	conservative
HI00243	n	pr	no	रंडीखाना	inclusive
HI00244	n	pr	no	रांड	inclusive
HI00245	n	ps	yes	कटुआ	conservative
HI00246	n	ps	yes	कटुए	conservative
HI00247	n	ps	yes	कटुवे	conservative
HI00248	n	ps	yes	कटुवो	conservative
HI00249	n	ps	yes	कठमुल्ला	conservative
HI00250	n	ps	yes	कठमुल्ले	conservative
HI00251	a	ps	yes	कलूटा	inclusive
