lemma	category	level
13.	qas	inclusive
13点	qas	inclusive
F奶	asf	conservative
G杯	asf	conservative
N奶	asf	conservative
SM	cds	inclusive
TM	cds	inclusive
Y茎	asm	conservative
Y蒂	asm	conservative
Y道	asm	conservative
g奶	asf	conservative
g点	asf	conservative
j8	asm	conservative
jb	asm	conservative
nigga	ps	conservative
nigger	ps	conservative
tmd	cds	inclusive
㗎仔	ps	conservative
㗎佬	ps	conservative
㗎呢	ps	conservative
㗎妹	ps	conservative
㞗	asm	conservative
一丘之貉	dmc	inclusive
一個味兒	dmc	inclusive
一瓶子不滿，半瓶子晃蕩	qas	inclusive
一鼻孔出氣	dmc	inclusive
三八	qas	inclusive
三小	cds	inclusive
三非	cds	inclusive
下三烂	is	inclusive
下体	asf	conservative
下头	cds	inclusive
下干	cds	inclusive
下药	cds	inclusive
下贱	qas	inclusive
下迷	cds	inclusive
下阴	asf	conservative
不傻	cds	inclusive
不可一世	dmc	inclusive
不屌	cds	inclusive
不漏洞拉	ps	conservative
不男不女	om	conservative
不知天高地厚	dmc	inclusive
不知所云	qas	inclusive
丘八	pa	inclusive
东夷	ps	conservative
东洋	ps	conservative
丧尽天良	dmc	inclusive
丧心病狂	dmc	inclusive
个老子的	cds	inclusive
丫不	cds	inclusive
丫又	cds	inclusive
丫挺	cds	inclusive
丫的	cds	inclusive
丫给	cds	inclusive
丫说	cds	inclusive
丫还	cds	inclusive
中二病	qas	inclusive
中共病毒	ps	conservative
中出	pr	conservative
中國佬	ps	conservative
乡巴佬	is	inclusive
书呆子	qas	inclusive
买春	pr	conservative
乱交	pr	conservative
乱掰	cds	inclusive
乱洨	cds	inclusive
乱论	cds	inclusive
乳交	asf	conservative
乳头	asf	conservative
乳房	asf	conservative
乳摇	asf	conservative
乳晕	asf	conservative
乳沟	asf	conservative
乳波臀浪	asf	conservative
乳波臀颤	asf	conservative
乳爆	asf	conservative
乳球	asf	conservative
乳神	asf	conservative
乳臭	qas	inclusive
乸型	om	conservative
亀头	asm	conservative
亂墜天花	dmc	inclusive
二奶	pr	conservative
二奶專家	pr	conservative
二婚頭	is	inclusive
二屄	asf	conservative
二把刀	qas	inclusive
二百五	ddp	conservative
二鬼子	ps	conservative
亏我	cds	inclusive
五十萬	dmc	inclusive
五毛	dmc	inclusive
井底之蛙	qas	inclusive
井底蛙	qas	inclusive
交合	pr	conservative
交媾	pr	conservative
交欢	pr	conservative
交配	an	conservative
亩人	cds	inclusive
亩刃	cds	inclusive
亩勾	cds	inclusive
亩狗	cds	inclusive
亩篝	cds	inclusive
人妖	om	conservative
人棍	ddf	conservative
人渣	cds	inclusive
仆街	cds	inclusive
仆街仔	cds	inclusive
他奶奶	cds	inclusive
他奶奶的	cds	inclusive
他奶娘的	cds	inclusive
他妈	cds	inclusive
他妈ㄉ王八蛋	cds	inclusive
他妈地	cds	inclusive
他妈的	cds	inclusive
他娘	cds	inclusive
他马	cds	inclusive
他马的	cds	inclusive
们干	cds	inclusive
伎倆	dmc	inclusive
伦乱	cds	inclusive
低智	ddp	conservative
低能	ddp	conservative
低能者	ddp	conservative
作贱	dmc	inclusive
作践	dmc	inclusive
你不是人	cds	inclusive
你个傻比	asf	conservative
你他马的	cds	inclusive
你全家	cds	inclusive
你吗	cds	inclusive
你國	dmc	inclusive
你奶奶的	cds	inclusive
你她马的	cds	inclusive
你妈	cds	inclusive
你妈的	cds	inclusive
你妹	cds	inclusive
你妹的	cds	inclusive
你娘	cds	inclusive
你娘卡好	cds	inclusive
你娘咧	cds	inclusive
你它妈的	cds	inclusive
你它马的	cds	inclusive
你是鸡	pr	conservative
你是鸭	pr	conservative
你肏	cds	inclusive
你马的	cds	inclusive
使恁娘	cds	inclusive
使恁殼	cds	inclusive
使恁母	cds	inclusive
侩子手	dmc	inclusive
俄匪	dmc	inclusive
俄毛子	ps	conservative
俗仔	cds	inclusive
俗到	cds	inclusive
俗辣	cds	inclusive
個腦生喺屎窟度	ddp	conservative
倒蛋	cds	inclusive
倪哥	cds	inclusive
倪格	cds	inclusive
倭夷	ps	conservative
倭奴	ps	conservative
倭寇	ps	conservative
倭狗	ps	conservative
倭賊	ps	conservative
倮倮	ps	conservative
假屌	asm	conservative
假掰	asm	conservative
假洨	asm	conservative
假赛	cds	inclusive
假鸡	cds	inclusive
做爱	cds	inclusive
偷奸	pr	conservative
偷情	pr	conservative
偷拍	pr	conservative
偷欢	pr	conservative
傻*	cds	inclusive
傻X	ddp	conservative
傻b	ddp	conservative
傻卵	ddp	conservative
傻叉	ddp	conservative
傻吊	ddp	conservative
傻呗	ddp	conservative
傻子	ddp	conservative
傻屄	asf	conservative
傻屌	asf	conservative
傻旦	ddp	conservative
傻比	asf	conservative
傻狗	ddp	conservative
傻瓜	ddp	conservative
傻的	ddp	conservative
傻缺	ddp	conservative
傻货	ddp	conservative
傻逼	asf	conservative
儒猴	ps	conservative
優秀民族	dmc	inclusive
儲精罐	asf	conservative
先搞	cds	inclusive
兔崽子	qas	inclusive
內山倯	is	inclusive
內山猴	is	inclusive
全家死光	cds	inclusive
全家死绝	cds	inclusive
八加九	is	inclusive
八婆	qas	inclusive
公交車	pr	conservative
公共汽車	pr	conservative
