lemma	category	level
70l0l	ddp	inclusive
ahmak	ddp	inclusive
amoi	ps	inclusive
anak anjing	an	conservative
anak haram	cds	conservative
anak jadah	cds	conservative
anak kolong	is	inclusive
anak sundal	pr	conservative
anak zadah	cds	conservative
andjing	an	conservative
anjay	cds	inclusive
anjing	an	conservative
anjing2	an	conservative
anjir	cds	inclusive
aseng	ps	inclusive
asu	an	conservative
ayam kampus	pr	conservative
babi	an	conservative
babon	an	inclusive
babu	is	conservative
bacot	cds	conservative
bahasa kentut	cds	inclusive
bahlul	ddp	conservative
bajingan	cds	conservative
banci	om	conservative
banci2	om	conservative
bangang	ddp	inclusive
bangka	svp	inclusive
banglasia	rci	conservative
bangsad	cds	conservative
bangsat	cds	conservative
bani	ps	inclusive
barua	pr	conservative
bedebah	cds	conservative
bego	ddp	conservative
bejat	cds	conservative
beloon	ddp	inclusive
bencong	om	conservative
bencong-bencong	om	conservative
biadab	cds	conservative
bidaah	ps	inclusive
binatang	an	conservative
bjir	cds	inclusive
bodoh	ddp	inclusive
boneka	dmc	inclusive
bongok	ddp	inclusive
borjuis	dmc	inclusive
boti	om	inclusive
brekmok	cds	inclusive
brengsek	cds	conservative
budaya kuning	qas	inclusive
budaya songsang	om	conservative
buncit	ddf	inclusive
burit	asm	conservative
buset	cds	inclusive
cabe-cabean	qas	conservative
cabo	pr	inclusive
cabul	qas	inclusive
cainis	ps	conservative
cebong	dmc	conservative
cebong2	dmc	conservative
celaka	svp	inclusive
cenblu	cds	inclusive
cina	ps	inclusive
cina apek	ps	conservative
cina-cina	ps	conservative
cina2	ps	conservative
cincong	cds	inclusive
cocoklogi	dmc	inclusive
cocot	cds	conservative
coli	asm	conservative
colmek	asm	conservative
colmekin	asm	conservative
congor	cds	conservative
crot	asm	inclusive
crot dalam	asm	inclusive
cuki	asm	inclusive
cukimai	asm	conservative
dongok	ddp	inclusive
duit kopi	re	inclusive
dungu	ddp	conservative
entot	asm	conservative
ewe	asm	conservative
fankui	ps	conservative
fuck	asm	conservative
geblek	ddp	conservative
gendut	ddf	inclusive
geng pelangi	om	conservative
goblok	ddp	conservative
goblok2	ddp	conservative
gundik	is	inclusive
haram jadah	cds	conservative
haram zadah	cds	conservative
harga yahudi	ps	conservative
hisap batang	asm	conservative
homo	om	conservative
indogsial	rci	conservative
inlander	ps	conservative
islam ktp	ps	inclusive
isriwil	ps	inclusive
itil	asf	conservative
jadah	cds	conservative
jahanam	svp	inclusive
jakun	ps	inclusive
jalang	pr	inclusive
janco	asm	inclusive
jancok	cds	conservative
jancuk	cds	conservative
jawakarta	rci	inclusive
jawir	ps	conservative
jembut	asm	inclusive
jijay	cds	inclusive
jongos	is	inclusive
kacrut	cds	inclusive
kacung	is	inclusive
kadal	an	inclusive
kadal gurun	ps	conservative
kadrun	ps	conservative
kafir	ps	inclusive
kakerlak	ps	conservative
kampang	cds	conservative
kampret	dmc	conservative
kampret2	dmc	conservative
kapir	ps	inclusive
katak	an	inclusive
kaum belok	om	conservative
kekafiran	ps	inclusive
keling	ps	conservative
keminggris	qas	inclusive
kepala butuh	asm	conservative
keparat	svp	conservative
kimai	asm	inclusive
kimak	asm	conservative
kocokin	asm	conservative
koit	svp	inclusive
komunis	dmc	inclusive
konak	asm	conservative
konek	asm	conservative
kongkek	asm	inclusive
konoha	dmc	inclusive
kontol	asm	conservative
kote	asm	inclusive
kotek	asm	inclusive
kristod	ps	inclusive
kunyit	om	inclusive
kunyuk	an	conservative
lahabau	svp	inclusive
lahanat	svp	inclusive
laknatullah	svp	conservative
lancau	asm	inclusive
lanji	pr	inclusive
lanjiao	asm	inclusive
lebai	qas	inclusive
libhanat	dmc	conservative
libtolol	dmc	conservative
lonte	pr	conservative
lubang pantat	asm	conservative
macai	dmc	inclusive
mahafiraun	dmc	inclusive
malaun	ps	inclusive
malaydesh	rci	conservative
malingsia	rci	conservative
malingsial	rci	conservative
malon	rci	conservative
mamarika	rci	inclusive
mampus	svp	conservative
matre	qas	inclusive
meki	asf	inclusive
meleis	ps	conservative
memek	asf	conservative
mengancuk	asm	inclusive
mengentot	asm	conservative
mesum	qas	inclusive
modar	svp	conservative
monyong	ddf	inclusive
negro	ps	conservative
nenen	asf	inclusive
ngaceng	asm	conservative
ngentot	asm	conservative
ngewe	asm	conservative
ngocok	asm	inclusive
njir	cds	inclusive
nolep	qas	inclusive
nonok	asf	inclusive
ongok	ddp	inclusive
onta	ps	inclusive
otong	asm	conservative
palat	asm	inclusive
palkon	asm	inclusive
pantek	asm	conservative
pecun	pr	conservative
pelacur	pr	inclusive
peler	asm	conservative
pencitraan	dmc	inclusive
penunggang agama	ps	inclusive
pepek	asf	conservative
perdom	asm	inclusive
perek	pr	conservative
pergi mampus	svp	conservative
persetan	svp	inclusive
picek	ddf	conservative
plonga-plongo	ddp	inclusive
politahi	dmc	conservative
politaik	dmc	conservative
pondan	om	conservative
prabodoh	dmc	conservative
prindapan	dmc	inclusive
puki	asf	conservative
pukimak	asf	conservative
pundek	asf	inclusive
rejim zionis	rci	inclusive
rendahan	is	inclusive
republik pisang	rci	conservative
sakai	ps	conservative
sange	qas	inclusive
sdm rendah	is	inclusive
semburit	om	conservative
sengkek	qas	inclusive
sepilis	dmc	conservative
sepong	asm	inclusive
sepongin	asm	inclusive
setan	svp	inclusive
setanyahu	dmc	inclusive
shit	asm	inclusive
si kontol panjang	asm	conservative
sial	svp	inclusive
sialan	svp	conservative
