source_id	language	toxic	text
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000000	zh	1	抓虫大战，人人有责
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000001	zh	1	估计已经成了非洲某部落的第36号王妃
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000002	zh	1	对号入座了，茶壶嘴破防了，戳到痛处了心脏不好的都来我这接种预防针
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000003	zh	1	我中国人，你喜欢黑人麻烦你走😠😠😠
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000004	zh	1	受教育程度节节高升，服务业占比节节攀升。都学的是服务专业是吧
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000005	zh	1	不要出生是对她们最好的保护
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000006	zh	1	整急眼了我可以干猪，但是不会干有过黑人男友的女人
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000007	zh	1	不能呼吸是对的
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000008	zh	1	喜欢黑人请去你男人国家，赖在中国就不要怪别人骂了，动手都是应该的
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000009	zh	1	连说说也不准？黑吹好猖獗
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000010	zh	1	部分地区穷吧，我说的不开化这一点
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000011	zh	1	我185，但这幕刃是鲨bee
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000012	zh	1	所谓“女生文科强，男生理科强”的刻板印象是咋出来的？我就特别的偏理科
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000013	zh	1	笑死我了智商是硬伤啊
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000014	zh	1	身边一堆找过外国的什么成分很明显了
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000015	zh	1	别听他的，他在危言耸听，为了爱情，去美好的非洲大草原吧
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000016	zh	1	男人的权利得不到维护重视，女人被惯坏，都是因为这些伪君子们作出来的
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000017	zh	1	支持正义剥削😆
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000018	zh	1	这波自杀真亏，为啥没把那个评论区的那几个女权们带走。
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000019	zh	1	吧主是重庆的啊，你们那儿也算是重灾区了吧
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000020	zh	1	看来同性恋只知道污蔑他人了
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000021	zh	1	在家骂黑鬼出门惦念弗洛伊德？🤔
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000022	zh	1	黑二代真是黑，偷渡来中国，连个回答都要学你碟黑着来匿名不敢明面回答
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000023	zh	1	你还未染艾身亡？你上药多久了？
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000024	zh	1	阎王老子来了 我就是种族内个歧视了🐶帽子我自己带好
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000025	zh	1	河南新疆回族人
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000026	zh	1	艾呀，梅事的啦，疣没什么大不了的，中奖几率为淋，痿什么要担心呢，打个疱而已嘛，下次就不药啦
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000027	zh	1	不想跟女人结婚的兄弟可以快乐的一起生活，互助。米格道不婚兄弟互助群
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000028	zh	1	我补充一下，男的是不是可以坦白自己的pc史，这不比交往一个外国女友严重？
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000029	zh	1	上海人给丈母娘洗内裤🥺🥺老北京通天纹人上人🤭🤭🤭
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000030	zh	1	我有一计：让她们出力禁止亲子鉴定短视的人会以为这对女人好，有远见的人会发现这解放了男人
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000031	zh	1	广西没啥存在感.😅
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000032	zh	1	因为种族优势，中国人普遍都很小
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000033	zh	1	这样的人一辈子都不会被人看上吧
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000034	zh	1	这个人哪个非洲国家的？
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000035	zh	1	如题，谁去接一下这个拳法
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000036	zh	1	石砸🐶叫了属于是，怎么就不配了？
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000037	zh	1	提到骗还有福建😅十个福建九个骗说的也不少
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000038	zh	1	开除女籍，下一位
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000039	zh	1	我嫌弃他们丑😅
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000040	zh	1	用粤语屌他啊 小北那边也很多黑人 我经常用粤语屌他们
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000041	zh	1	说得对，我们没法分辨谁是烂裤裆，那只能摆烂或者先自己变成烂裤裆了😄
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000042	zh	1	饭桶皆深柜，不敢直面自己的内心
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000043	zh	1	其他地方是地域黑，上海这个只是说了实话怎么能算黑
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000044	zh	1	长三角某些媒体带坏了风向，经常以高高在上的姿态评价外省人，这些媒体才是地域黑的源头
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000045	zh	1	小仙女日常精神病
textdetox@01907546324b0330d2d8b7669648cc18823323e5/zh/000046	zh	1	你不是字吗？郭南郭朒分不清楚
