split	label	text
development	clean	!!!!!!!!!!!meu deus sim
development	clean	" baiano é aquele amigo do marlon que deu pt aqui em casa ? "\n\n"aquele ali é o baiano ?"
development	clean	"A possibilidade de Daniel Alves estrear contra o Santos é praticamente nula. O jogador ainda está de férias, e certamente vai precisar ajustar a forma física e técnica". #gesaopaulo
development	clean	"Deus conhece a sua estrutura, sabe o que está fazendo, mesmo que seja difícil, não pare ele está vendo..." Vale a pena cada esforço, tudo feito c muito amor e carinho. Só Deus sabe o quanto é difícil, mas a cada dia ele me dá forças e me SUSTENTA! Aguardo vocês amanha 🍰🥰 https://t.co/pXU6xCZKDt
development	clean	"Dizer que a dinastia acabou é um pouco ignorante porque eu vou voltar melhor e mais atlético. Não seria inteligente ignorar os Dubs [Warriors]."\n\n- Klay Thompson sobre os que falam que "a dinastia acabou".\n\nhttps://t.co/JKa242qzGq
development	clean	"Nós nos amamos, para que esperar...?"\n\nQual a verdade dessa frase? Venha estudar sobre isso através da mensagem " Não saber esperar pode matar o amor". Nesse domingo na Betel!!!\n\nGuilherme Gimenez\nhttps://t.co/TP67eoz82M\nprgimenez@user\n\n#liderancaeespiritualidade https://t.co/Q33cNmkpUa
development	clean	"Oi, eu sou o Rodrigo e sou 016 da História. Peguei essa disciplina porque não conheço muito sobre o tema e queria aprender mais"\n\nToda disciplina é a mesma apresentação
development	clean	"Que as esperanças se renovem e que o amor seja a palavra final para todas as decisões. Que o perdão seja lei e que a paz alcance todos os corações. Que as dores terminem, que as aflições cessem, que o medo chegue ao fim. Que nós tenhamos coragem para enfrentar toda situação."
development	clean	"ela me olha e vê um banco..."
development	clean	"eu prefiro acreditar no evangelho que perdoa a mulher adúltera a acreditar em uma religião que quer apedrejá-la." https://t.co/e4rgocvglo
development	clean	"l'état est moi". esperando a história se repetir e essa guilhotina chegar.\n https://t.co/tb7ok08e8w via @user @user
development	clean	"muita coisa muda em um ano" isso nunca fez tanto sentido na minha vida igual hoje pqp
development	clean	"obrigado! isso significa o mundo para mim porque às vezes eu pergunto e então as pessoas são como "não, eu não a conheço", mas vocês são realmente melhores amigos!" AI MEU DEUS EU ASSIM EU DERRETO https://t.co/iA3Imbl8E3
development	clean	"parem de desmerecer que esta tentando acertar" ele nao ta tentando acertar ele ta tentando (e conseguindo) ganhar dinheiro 🗣️ https://t.co/7En36Zqnf7
development	clean	"pau pra toda obra" kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk Tirei Sua alma gêmea é de Touro, Virgem ou Capricórnio! https://t.co/6k49hv4X3m
development	clean	"pessoas feias amam, elas também tem sentimentos" \n\nmelhor frase que minha mãe falou hoje kkkkkkkkkkkkkkkkkk (pq tava assistindo o clipe 'Na sua Estante - Pitty')
development	clean	"querem ser vasco" mas a gnt tá pegando os jogadores do sp porra
development	clean	"sakura era sua companheira insubstitu铆vel e n茫o havia nada que poderia mudar esse fato." - sasuke retsuden.
development	clean	"sdds" 🤣🤣🤣
development	clean	"stf ", Falando se autoritarismo é cortina de fumaça para as decisões monocráticas e atrapalhadas que tomam. Esta corte já deu! #STFVergonhaNacional #ForaSTF
development	clean	"tem gente que é tão inteligente, mas tão retardada" mãe, minha
development	clean	"tu sabe a diferença de ser homossexual e ser gay/bicha?" \ndessa vez a minha mãe chegou no auge
development	clean	"você se afastou de fulano pq?"\ngente as vezes nem eu msm consigo fica perto de mim, é foda...
development	clean	#5mesespra2020eeu \n ainda fico puta por motivos bestas e choro por tudo
development	clean	#ATENÇÃO\n\nTem uma informação circulando que a #China vai decretar lei marcial e colocar tanque nas ruas de #HongKong. Aguardando se confirmar.
development	clean	#ExposingMIndustry\n\nartistas que parecem sempre felizes, mas por trás, sofrem com a dor da indústria que os sufoca cada vez mais. https://t.co/lMIoZngOcz
development	clean	#Gêmeos Se você prometeu algo, mantenha a sua palavra. Além de ser importante para o seu caráter, é importante para alguém que acredita em você.
development	clean	#Intervozes | Uso de canais de comunica莽茫o p煤blica para propaganda e comunica莽茫o estatal 茅 inconstitucional, apontam procuradores na a莽茫o. https://t.co/ZO8ZiwLj5H
development	clean	#LigaNaGuaíba | "A publicidade é básico na democracia. Chegando à um veículo de comunicação uma notícia, cabe ao jornalista divulgar os fatos. Interessa a sociedade geral ser bem informada", ministro do Supremo, Marco Aurélio Mello sobre o trabalho do @user
development	clean	#NasRuasContraSTF  PRESSÃO!!! Presidente do Senado 👁👁.        #STFVergonhaNacional                          BASSSSTA 😡 B_SSSSTA 💩 https://t.co/eyGIWhUAox
development	clean	#STFVergonhaNacional  uma atrapalhada atrás da outra, onde sempre vem a beneficiar bandidos e proteger o próprio rabo, ou seja, dos bandidos também.
development	clean	#STFVergonhaNacional\nComo pode? 11 Ministros fazerem o que querem? Isso tem que acabar.\nN茫o podemos permitir que pessoas que n茫o colocamos no poder mandem e demandem. Absurdo total. 馃槨馃槨馃槨馃槨 https://t.co/uIj2GETptV
development	clean	#STFVergonhaNacional\n\nCOMPARTILHEM...DIVULGUEM.\nLEI ANTI CRIMES JÁ.\nLAVA TOGA JÁ.\nREFORMA TRIBUTÁRIA JÁ.\n\nCHEGA DE CORRUPÇÃO.\nCHEGA DE ROUBALHEIRAS.\n\nFORA TOFFOLI\nFORA GILMAR MENDES\nFORA ALEXANDRE DE MORAES\nFORA LEWANDOWSKI\nFORA MARCO AURÉLIO\nFORA CELSO DE MELLO\nFORA ROSA WEBER https://t.co/mgWAgPjSH6
development	clean	#TorcidaFURIOSA "Comecei a torcer pela FURIA em Janeiro mas foi em Abril na DH Rio que eu senti de verdade o que é fazer parte da #TorcidaFURIOSA" @user https://t.co/YAgmvRLfov
development	clean	#VemPraUnipampa\n\nO resultado final do processo seletivo para ingresso no curso Letras - Português EaD já está disponível! ;)\n\nOs selecionados devem fazer sua matrícula na unidade escolhida de 05 a 07/08.\n\nResultado Final: https://t.co/eq2S2AizAx https://t.co/LuGzEkFJQd
development	clean	#balançogeralrj acho engraçado essas pessoas que sai um dia antes pra ficar na fila pra ver show e se atrasa na prova do enem kkkkkk
development	clean	#futebolnaredevida sejam mais imparcial tá feio vcs torcendo pro palmeiras
development	clean	#globonews infelizmente é a única opção que trata de política. pena que seja tão parcial.
development	clean	#histórias do vento# embarque em sua jornada e participe de aventuras junto com seus amigos! https://t.co/50rjkvfz8p
development	clean	#jairbolsonaro #ImpeachmentBolsonaro #BolsonaroCai #BolsonaroMentiroso #IMPEACHMENTDEBOLSONAROJA Ler para se informar. Se informar para refletir. Refletir para criticar. Criticar para poder mudar. Vale a pena ler a análise do @user .
development	clean	#mpn #marinaruybarbosa #nowunited duzentos e trinta dois
development	clean	#naoaosdesmandosdostf \n\nvamos às ruas agora!!!
development	clean	#nasruascontrastf \n@user vergonha nacional\nvergonha nacional\nvergonha nacional
development	clean	#nowunited #mpn #uniters estamos perdendo  feio
development	clean	#rdnnobailedacedae\n\nvai fluir e ninguém vai entender nadaa haha ❤️
development	clean	#stfvergonhanacional \n@user vergonha nacional
development	clean	#stfvergonhanacional \nvoltemos às ruas!!!😠\nnão à ditadura da toga!!!
development	clean	#stfvergonhanacional bolsonaro faz ligação para responder jornalistas https://t.co/kzz3oaeji9
development	clean	#stfvergonhanacional precisam cair!
