id	pos	category	stereotype	lemma	level
RU00001	n	an	no	аспид	inclusive
RU00002	n	an	no	баран	inclusive
RU00003	n	an	no	баранов	inclusive
RU00004	n	an	no	бревно	inclusive
RU00005	n	an	no	быдло	conservative
RU00006	n	an	no	быдлёнок	inclusive
RU00007	n	an	no	вороньё	inclusive
RU00008	n	an	no	вошь	inclusive
RU00009	n	an	no	выдра	inclusive
RU00010	n	an	no	выморозок	inclusive
RU00011	n	an	no	выползень	inclusive
RU00012	n	an	no	выползыш	inclusive
RU00013	n	an	no	выхухоль	inclusive
RU00014	n	an	no	гад	inclusive
RU00015	n	an	no	гадина	inclusive
RU00016	p	an	no	гадова жабра	inclusive
RU00017	n	an	no	гадюка	inclusive
RU00018	p	an	no	гадюка рыжая	inclusive
RU00019	n	an	no	гадюку	inclusive
RU00020	n	an	no	гадёнок	inclusive
RU00021	n	an	no	гадёныш	inclusive
RU00022	n	an	no	гамадрил	inclusive
RU00023	n	an	no	гнида	inclusive
RU00024	n	an	no	гнидный	inclusive
RU00025	n	an	no	грызун	conservative
RU00026	n	an	no	гусь	inclusive
RU00027	n	an	no	доска	inclusive
RU00028	n	an	no	дрова	inclusive
RU00029	n	an	no	дубьё	inclusive
RU00030	p	an	no	ебала жаба гадюку	inclusive
RU00031	n	an	no	жаба	inclusive
RU00032	n	an	no	живец	inclusive
RU00033	n	an	no	жила	inclusive
RU00034	n	an	no	зверьё	inclusive
RU00035	n	an	no	зверюга	inclusive
RU00036	p	an	no	змеиная векша	inclusive
RU00037	n	an	no	змей	inclusive
RU00038	n	an	no	змеюка	inclusive
RU00039	n	an	no	змея	inclusive
RU00040	p	an	no	змея подколодная	inclusive
RU00041	n	an	no	змеёныш	inclusive
RU00042	n	an	no	индюк	inclusive
RU00043	n	an	no	ишак	inclusive
RU00044	n	an	no	кабан	inclusive
RU00045	n	an	no	каракатица	inclusive
RU00046	n	an	no	клешня	inclusive
RU00047	n	an	no	клуша	inclusive
RU00048	n	an	no	кляча	inclusive
RU00049	n	an	no	кобелина	inclusive
RU00050	n	an	no	кобыла	inclusive
RU00051	p	an	no	кобылий сын	inclusive
RU00052	n	an	no	коза	inclusive
RU00053	n	an	no	козлина	inclusive
RU00054	n	an	no	козлоногий	inclusive
RU00055	n	an	no	козлы	inclusive
RU00056	n	an	no	козёл	inclusive
RU00057	n	an	no	корова	inclusive
RU00058	n	an	no	кошатина	inclusive
RU00059	n	an	no	кошатник	inclusive
RU00060	n	an	no	кролик	inclusive
RU00061	n	an	no	крольчиха	inclusive
RU00062	n	an	no	крыса	inclusive
RU00063	n	an	no	крысёныш	inclusive
RU00064	n	an	no	курица	inclusive
RU00065	n	an	no	лягва	inclusive
RU00066	n	an	no	мерин	inclusive
RU00067	n	an	no	мойва	inclusive
RU00068	p	an	no	мокрая курица	inclusive
RU00069	n	an	no	муфлон	inclusive
RU00070	n	an	no	мышка	inclusive
RU00071	n	an	no	обезьян	inclusive
RU00072	n	an	no	обезьяна	inclusive
RU00073	n	an	no	обезьяны	inclusive
RU00074	n	an	no	образина	inclusive
RU00075	n	an	no	овца	inclusive
RU00076	n	an	no	огузок	inclusive
RU00077	n	an	no	одёр	inclusive
RU00078	n	an	no	олень	inclusive
RU00079	n	an	no	опарыш	inclusive
RU00080	n	an	no	оскотиниться	inclusive
RU00081	n	an	no	ослица	inclusive
RU00082	n	an	no	ослоеб	inclusive
RU00083	n	an	no	падаль	inclusive
RU00084	n	an	no	паразит	inclusive
RU00085	n	an	no	парнокопытное	inclusive
RU00086	n	an	no	пиявица	inclusive
RU00087	n	an	no	порося	inclusive
RU00088	p	an	no	поросячья рожа	inclusive
RU00089	n	an	no	псина	inclusive
RU00090	n	an	no	псовка	inclusive
RU00091	n	an	no	псёнок	inclusive
RU00092	n	an	no	рак	inclusive
RU00093	n	an	no	раскоряка	inclusive
RU00094	n	an	no	распросукин	conservative
RU00095	n	an	no	рассукин	conservative
RU00096	n	an	no	ротан	inclusive
RU00097	p	an	no	свиная рожа	inclusive
RU00098	p	an	no	свиное рыло	inclusive
RU00099	n	an	no	свинтус	inclusive
RU00100	n	an	no	свинья	inclusive
RU00101	p	an	no	свинячье рыло	inclusive
RU00102	n	an	no	скот	inclusive
RU00103	n	an	no	скотина	inclusive
RU00104	n	an	no	слизняк	inclusive
RU00105	n	an	no	собака	inclusive
RU00106	n	an	no	собачий	inclusive
RU00107	n	an	no	собачонка	inclusive
RU00108	p	an	no	собачье рыло	inclusive
RU00109	p	an	no	стадо баранов	inclusive
RU00110	n	an	no	стервятина	inclusive
RU00111	n	an	no	сука	conservative
