id	pos	category	stereotype	lemma	level
ID00001	p	an	no	anak anjing	conservative
ID00002	n	an	no	andjing	conservative
ID00003	n	an	no	anjing	conservative
ID00004	n	an	no	anjing2	conservative
ID00005	n	an	no	asu	conservative
ID00006	n	an	no	babi	conservative
ID00007	n	an	no	babon	inclusive
ID00008	n	an	no	binatang	conservative
ID00009	n	an	no	kadal	inclusive
ID00010	n	an	no	katak	inclusive
ID00011	n	an	no	kunyuk	conservative
ID00012	n	asf	no	itil	conservative
ID00013	n	asf	no	meki	inclusive
ID00014	n	asf	no	memek	conservative
ID00015	n	asf	no	nenen	inclusive
ID00016	n	asf	no	nonok	inclusive
ID00017	n	asf	no	pepek	conservative
ID00018	n	asf	no	puki	conservative
ID00019	n	asf	no	pukimak	conservative
ID00020	n	asf	no	pundek	inclusive
ID00021	n	asf	no	tempik	conservative
ID00022	n	asf	no	tetek	inclusive
ID00023	n	asf	no	toket	conservative
ID00024	n	asm	no	burit	conservative
ID00025	n	asm	no	coli	conservative
ID00026	n	asm	no	colmek	conservative
ID00027	n	asm	no	colmekin	conservative
ID00028	n	asm	no	crot	inclusive
ID00029	p	asm	no	crot dalam	inclusive
ID00030	n	asm	no	cuki	inclusive
ID00031	n	asm	no	cukimai	conservative
ID00032	n	asm	no	entot	conservative
ID00033	n	asm	no	ewe	conservative
ID00034	n	asm	no	fuck	conservative
ID00035	p	asm	no	hisap batang	conservative
ID00036	n	asm	no	janco	inclusive
ID00037	n	asm	no	jembut	inclusive
ID00038	p	asm	no	kepala butuh	conservative
ID00039	n	asm	no	kimai	inclusive
ID00040	n	asm	no	kimak	conservative
ID00041	n	asm	no	kocokin	conservative
ID00042	n	asm	no	konak	conservative
ID00043	n	asm	no	konek	conservative
ID00044	n	asm	no	kongkek	inclusive
ID00045	n	asm	no	kontol	conservative
ID00046	n	asm	no	kote	inclusive
ID00047	n	asm	no	kotek	inclusive
ID00048	n	asm	no	lancau	inclusive
ID00049	n	asm	no	lanjiao	inclusive
ID00050	p	asm	no	lubang pantat	conservative
ID00051	n	asm	no	mengancuk	inclusive
ID00052	n	asm	no	mengentot	conservative
ID00053	n	asm	no	ngaceng	conservative
ID00054	n	asm	no	ngentot	conservative
ID00055	n	asm	no	ngewe	conservative
ID00056	n	asm	no	ngocok	inclusive
ID00057	n	asm	no	otong	conservative
